UniProt Accession Number,Gene names,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,has_missing_data,fold_change_exp1,fold_change_exp2,mean_fold_change,log2_fold_change,regulated
Q9QZ23,Nfu1,451710000,182010000,110270000,100740000,False,0.2441168006021563,0.5534860721938355,0.3988014363979959,-1.326257488861049,DOWN
Q9CXW4,Rpl11,272140000,230660000,215720000,548710000,False,0.7926802381127361,2.378869331483569,1.585774784798152,0.6651878908865023,UP
P35564,Canx,108230000,295470000,402970000,639830000,False,3.723274507992239,2.165465191051545,2.944369849521892,1.557958903241921,UP
P35585,Ap1m1,411220000,352110000,279890000,104480000,False,0.6806332376829921,0.2967254551134589,0.4886793463982255,-1.033039963248379,DOWN
Q8BPG6,Sumf2,289750000,208210000,21501000,95083000,False,0.0742053494391717,0.4566687478987561,0.2654370486689639,-1.913558344372754,DOWN
Q9D8S9,Bola1,46360000,10670000,26638000,75029000,False,0.5745901639344262,7.031771321462043,3.803180742698235,1.927206503364563,UP
Q9CR86,Carhsp1,157620000,90866000,68369000,43946000,False,0.4337584062936176,0.4836352431052319,0.4586968246994247,-1.124387174400667,DOWN
P13707,Gpd1,285430000,438880000,82257000,160740000,False,0.2881862453140875,0.366250455705432,0.3272183505097598,-1.611674437539627,DOWN
Q8R326,Pspc1,17760000,4183700,6750200,18950000,False,0.3800788288288288,4.529483471568229,2.454781150198529,1.295594410447473,UP
Q9CQR2,Rps21,266610000,159010000,1096800000,184190000,False,4.113874198267132,1.158354820451544,2.636114509359338,1.398413040488878,UP
P55821,Stmn2,400270000,262070000,566450000,582310000,False,1.415169760411722,2.221963597512115,1.818566678961919,0.8628018241405735,UP
Q920B9,Supt16h,473250000,1757400000,106220000,703610000,False,0.2244479661912309,0.4003698645726642,0.3124089153819475,-1.678492469852432,DOWN
Q505B7,Zbtb8os,234000000,238560000,235040000,479100000,False,1.004444444444444,2.008299798792756,1.5063721216186,0.5910782054001704,UP
P23198,Cbx3,365920000,112760000,193220000,408170000,False,0.5280389156099694,3.6198119900674,2.073925452838685,1.052364037471853,UP
Q6P3D0,Nudt16,155550000,51327000,93096000,16968000,False,0.5984956605593057,0.3305862411596236,0.4645409508594647,-1.106122314215366,DOWN
Q9JL35,Hmgn5,369360000,97256000,47073000,46481000,False,0.1274447693307342,0.4779242411779222,0.3026845052543282,-1.724113270943932,DOWN
Q99JI6;P62835,Rap1b;Rap1a,108120000,100260000,328140000,401500000,False,3.03496115427303,4.00458807101536,3.519774612644195,1.815483049421894,UP
Q8BG95,Ppp1r12b,40161000,27278000,10274000,12586000,False,0.2558203231991235,0.4613974631571229,0.3586088931781232,-1.479516828697564,DOWN
Q8BY87,Usp47,275300000,487840000,6649600,235390000,False,0.02415401380312386,0.4825147589373565,0.2533343863702402,-1.980885180178746,DOWN
P16110,Lgals3,126760000,70218000,23095000,50856000,False,0.1821946986431051,0.7242587370759634,0.4532267178595343,-1.141695183889372,DOWN
Q8K310,Matr3,229650000,337280000,79993000,66982000,False,0.348325713041585,0.1985946394686907,0.2734601762551379,-1.870597344876733,DOWN
O70318,Epb41l2,396200000,157550000,59930000,22735000,False,0.1512619888944977,0.1443033957473818,0.1477826923209398,-2.758450777804279,DOWN
Q9DB05,Napa,194310000,125010000,75100000,42161000,False,0.3864958056713499,0.3372610191184705,0.3618784123949102,-1.466423047579607,DOWN
P63001;P60764,Rac1;Rac3,172000000,586790000,271620000,1194600000,False,1.579186046511628,2.035822014690094,1.807504030600861,0.8539988642836629,UP
