id,gene,ctrl_31578,ctrl_31580,trt_31579,trt_31581
P19137,Lama1,221670000000.0,107470000000.0,119690000000.0,120100000000.0
P16546,Sptan1,11001000000.0,8045800000.0,6124400000.0,7281800000.0
P02469,Lamb1,142020000000.0,60200000000.0,81201000000.0,109600000000.0
P02468,Lamc1,131780000000.0,57350000000.0,91938000000.0,87224000000.0
Q9JHU4,Dync1h1,1933700000.0,655880000.0,855090000.0,237200000.0
Q62261,Sptbn1,3667500000.0,4221700000.0,1507700000.0,2351600000.0
Q05793,Hspg2,12600000000.0,13960000000.0,8894500000.0,23877000000.0
Q64727,Vcl,31161000000.0,30374000000.0,25489000000.0,44538000000.0
Q80X90,Flnb,2996900000.0,5937000000.0,843850000.0,3345100000.0
P19096,Fasn,7212000000.0,5586600000.0,3690400000.0,5894900000.0
P01027,C3,24116000000.0,122930000000.0,20733000000.0,88345000000.0
P11087,Col1a1,28260000000.0,134990000000.0,20608000000.0,96745000000.0
Q8BTM8,Flna,3337500000.0,9931500000.0,3247700000.0,9942700000.0
P02463,Col4a1,13491000000.0,22020000000.0,7696100000.0,10721000000.0
Q9QXS1,Plec,839810000.0,2173400000.0,1154500000.0,1683000000.0
P10493,Nid1,122840000000.0,87879000000.0,83562000000.0,169460000000.0
P08121,Col3a1,11953000000.0,71312000000.0,9361700000.0,42633000000.0
Q61316,Hspa4,13825000000.0,8795500000.0,6464800000.0,13901000000.0
P57780,Actn4,28655000000.0,43536000000.0,20632000000.0,56018000000.0
Q01853,Vcp,77878000000.0,65623000000.0,52317000000.0,54700000000.0
Q01149,Col1a2,14275000000.0,69717000000.0,9016700000.0,36501000000.0
Q3U1J4,Ddb1,17261000000.0,7665900000.0,10895000000.0,9422600000.0
Q60847,Col12a1,1458000000.0,3840900000.0,9566300000.0,18537000000.0
P07901,Hsp90aa1,80575000000.0,57511000000.0,21644000000.0,22550000000.0
Q7TPR4,Actn1,19059000000.0,30230000000.0,13833000000.0,31602000000.0
P08113,Hsp90b1,51398000000.0,30708000000.0,35954000000.0,31493000000.0
Q3UQ28,Pxdn,9752200000.0,15739000000.0,8553400000.0,21331000000.0
P20029,Hspa5,88100000000.0,62530000000.0,49734000000.0,56713000000.0
P20152,Vim,79586000000.0,91471000000.0,82392000000.0,103250000000.0
P11276,Fn1,1769200000.0,15289000000.0,1580900000.0,13428000000.0
O88207,Col5a1,6460400000.0,13185000000.0,3026300000.0,7132900000.0
P11499,Hsp90ab1,47703000000.0,46922000000.0,43070000000.0,63350000000.0
A2ARV4,Lrp2,1436100000.0,843010000.0,1135100000.0,347360000.0
Q68FD5,Cltc,4123200000.0,3160800000.0,3425600000.0,3720900000.0
Q9JKR6,Hyou1,7976800000.0,2693600000.0,4197300000.0,1952900000.0
P26041,Msn,25694000000.0,33874000000.0,20441000000.0,33581000000.0
P70398,Usp9x,856490000.0,206520000.0,256270000.0,212900000.0
P58252,Eef2,22796000000.0,26074000000.0,20634000000.0,26851000000.0
