accession	gene	Intensity 31579	Intensity 31581	Intensity 31578	Intensity 31580
P19137	Lama1	119690000000.0	120100000000.0	221670000000.0	107470000000.0
P16546	Sptan1	6124400000.0	7281800000.0	11001000000.0	8045800000.0
P02469	Lamb1	81201000000.0	109600000000.0	142020000000.0	60200000000.0
P02468	Lamc1	91938000000.0	87224000000.0	131780000000.0	57350000000.0
Q9JHU4	Dync1h1	855090000.0	237200000.0	1933700000.0	655880000.0
Q62261	Sptbn1	1507700000.0	2351600000.0	3667500000.0	4221700000.0
Q05793	Hspg2	8894500000.0	23877000000.0	12600000000.0	13960000000.0
Q64727	Vcl	25489000000.0	44538000000.0	31161000000.0	30374000000.0
Q80X90	Flnb	843850000.0	3345100000.0	2996900000.0	5937000000.0
P19096	Fasn	3690400000.0	5894900000.0	7212000000.0	5586600000.0
P01027	C3	20733000000.0	88345000000.0	24116000000.0	122930000000.0
P11087	Col1a1	20608000000.0	96745000000.0	28260000000.0	134990000000.0
Q8BTM8	Flna	3247700000.0	9942700000.0	3337500000.0	9931500000.0
P02463	Col4a1	7696100000.0	10721000000.0	13491000000.0	22020000000.0
Q9QXS1	Plec	1154500000.0	1683000000.0	839810000.0	2173400000.0
P10493	Nid1	83562000000.0	169460000000.0	122840000000.0	87879000000.0
P08121	Col3a1	9361700000.0	42633000000.0	11953000000.0	71312000000.0
Q61316	Hspa4	6464800000.0	13901000000.0	13825000000.0	8795500000.0
P57780	Actn4	20632000000.0	56018000000.0	28655000000.0	43536000000.0
Q01853	Vcp	52317000000.0	54700000000.0	77878000000.0	65623000000.0
Q01149	Col1a2	9016700000.0	36501000000.0	14275000000.0	69717000000.0
Q3U1J4	Ddb1	10895000000.0	9422600000.0	17261000000.0	7665900000.0
Q60847	Col12a1	9566300000.0	18537000000.0	1458000000.0	3840900000.0
P07901	Hsp90aa1	21644000000.0	22550000000.0	80575000000.0	57511000000.0
Q7TPR4	Actn1	13833000000.0	31602000000.0	19059000000.0	30230000000.0
P08113	Hsp90b1	35954000000.0	31493000000.0	51398000000.0	30708000000.0
Q3UQ28	Pxdn	8553400000.0	21331000000.0	9752200000.0	15739000000.0
P20029	Hspa5	49734000000.0	56713000000.0	88100000000.0	62530000000.0
P20152	Vim	82392000000.0	103250000000.0	79586000000.0	91471000000.0
P11276	Fn1	1580900000.0	13428000000.0	1769200000.0	15289000000.0
O88207	Col5a1	3026300000.0	7132900000.0	6460400000.0	13185000000.0
P11499	Hsp90ab1	43070000000.0	63350000000.0	47703000000.0	46922000000.0
A2ARV4	Lrp2	1135100000.0	347360000.0	1436100000.0	843010000.0
Q68FD5	Cltc	3425600000.0	3720900000.0	4123200000.0	3160800000.0
Q9JKR6	Hyou1	4197300000.0	1952900000.0	7976800000.0	2693600000.0
P26041	Msn	20441000000.0	33581000000.0	25694000000.0	33874000000.0
P70398	Usp9x	256270000.0	212900000.0	856490000.0	206520000.0
P58252	Eef2	20634000000.0	26851000000.0	22796000000.0	26074000000.0
Q61147	Cp	7946500000.0	125440000000.0	15313000000.0	86555000000.0
Q6ZQ38	Cand1	3285300000.0	6897300000.0	8627700000.0	5708600000.0
P63017	Hspa8	43543000000.0	53668000000.0	57602000000.0	55320000000.0
Q64514	Tpp2	2764200000.0	1477300000.0	4370500000.0	2122400000.0
P27546	Map4	2286700000.0	2480300000.0	4663600000.0	2186500000.0
Q9WTQ5	Akap12	3925300000.0	3255300000.0	8015900000.0	2575600000.0
P27773	Pdia3	76820000000.0	78815000000.0	90794000000.0	93288000000.0
P58771	Tpm1	16336000000.0	14735000000.0	24168000000.0	18189000000.0
P09103	P4hb	50367000000.0	56172000000.0	59146000000.0	65454000000.0
P52480	Pkm	30012000000.0	49621000000.0	30305000000.0	54250000000.0
Q8K411	Pitrm1	1224700000.0	656610000.0	2958000000.0	945950000.0
Q6IRU2	Tpm4	7496300000.0	13789000000.0	8842600000.0	12910000000.0
Q91V92	Acly	4573500000.0	6171400000.0	5927400000.0	4106200000.0
Q8BKC5	Ipo5	4544700000.0	4048800000.0	6306700000.0	5492500000.0
P17156	Hspa2	3311500000.0	1057300000.0	4649800000.0	736210000.0
Q11011	Npepps	6892300000.0	8275800000.0	9532000000.0	7411500000.0
E9Q557	Dsp	65161000.0	191660000.0	482450000.0	182200000.0
Q6P5F9	Xpo1	2899600000.0	3013900000.0	4594500000.0	1765300000.0
Q9EPL2	Clstn1	3438900000.0	4518500000.0	5881400000.0	3990800000.0
Q921I1	Tf	8639800000.0	11738000000.0	9822600000.0	16300000000.0
Q02819	Nucb1	16482000000.0	20973000000.0	20940000000.0	20963000000.0
Q91ZX7	Lrp1	391620000.0	476500000.0	616220000.0	901940000.0
P06801	Me1	42746000000.0	54773000000.0	49177000000.0	40095000000.0
P09470	Ace	5736600000.0	6869900000.0	8033100000.0	7725800000.0
Q80YX1	Tnc	910600000.0	3044800000.0	783070000.0	4713500000.0
P13020	Gsn	11320000000.0	10084000000.0	12304000000.0	17234000000.0
Q8VHY0	Cspg4	282240000.0	444340000.0	1202600000.0	931490000.0
P26039	Tln1	185690000.0	226450000.0	466810000.0	363020000.0
Q02053	Uba1	3129100000.0	2629500000.0	5035800000.0	3624500000.0
Q8BHN3	Ganab	4314800000.0	8801800000.0	8321400000.0	7655100000.0
Q61598	Gdi2	17311000000.0	14438000000.0	23816000000.0	21743000000.0
P48722	Hspa4l	1714000000.0	300240000.0	2337400000.0	442310000.0
O88844	Idh1	17994000000.0	24912000000.0	26143000000.0	27113000000.0
P35441	Thbs1	4013400000.0	31819000000.0	4073200000.0	24938000000.0
Q61292	Lamb2	1460100000.0	1222500000.0	2372600000.0	1128800000.0
P15626	Gstm2	105870000000.0	138210000000.0	157020000000.0	106230000000.0
P08003	Pdia4	4191900000.0	5328200000.0	10610000000.0	9774800000.0
Q04857	Col6a1	3197600000.0	12591000000.0	3972900000.0	30095000000.0
Q06890	Clu	187450000000.0	453330000000.0	348930000000.0	485710000000.0
Q07113	Igf2r	311730000.0	357350000.0	334700000.0	208050000.0
P09411	Pgk1	10108000000.0	20267000000.0	18997000000.0	30204000000.0
P17182	Eno1	26323000000.0	35114000000.0	40757000000.0	44413000000.0
P05064	Aldoa	32034000000.0	53571000000.0	58959000000.0	54767000000.0
P14733	Lmnb1	1279600000.0	1828400000.0	3052300000.0	2293500000.0
P26043	Rdx	2091000000.0	1449300000.0	2437300000.0	2445700000.0
P40142	Tkt	12095000000.0	33779000000.0	19486000000.0	22121000000.0
Q8VHX6	Flnc	155890000.0	403920000.0	195400000.0	682560000.0
P48678	Lmna	1914000000.0	3890800000.0	2275100000.0	4344300000.0
Q8VDM4	Psmd2	2970100000.0	2285600000.0	4088700000.0	2873300000.0
P26040	Ezr	648790000.0	1921700000.0	1687500000.0	1407400000.0
Q93092	Taldo1	42688000000.0	66199000000.0	29678000000.0	30931000000.0
Q8K010	Oplah	797910000.0	676290000.0	1281500000.0	612940000.0
P63038	Hspd1	7472800000.0	4619600000.0	9871300000.0	6317100000.0
P70663	Sparcl1	2460900000.0	12932000000.0	4226800000.0	9360200000.0
Q9R0B9	Plod2	16168000000.0	14175000000.0	14213000000.0	10877000000.0
P27046	Man2a1	2313700000.0	2114200000.0	2612400000.0	2091500000.0
P21107	Tpm3	2837300000.0	3790100000.0	1814300000.0	2586300000.0
Q8BHG1	Nrd1	121660000.0	1216100000.0	2388000000.0	1778900000.0
P62259	Ywhae	56646000000.0	46588000000.0	32934000000.0	33045000000.0
Q99KI0	Aco2	2026900000.0	595970000.0	2746600000.0	1299800000.0
Q921M3	Sf3b3	2487600000.0	2923000000.0	3295300000.0	1979800000.0
P14211	Calr	86690000000.0	40301000000.0	68634000000.0	59059000000.0
P10649	Gstm1	109160000000.0	111220000000.0	94505000000.0	83097000000.0
Q00493	Cpe	110470000000.0	61794000000.0	84029000000.0	55538000000.0
O35206	Col15a1	5753600000.0	3743600000.0	8311700000.0	7842900000.0
O88342	Wdr1	12850000000.0	18865000000.0	14592000000.0	19698000000.0
P17710	Hk1	2121600000.0	2704400000.0	2054600000.0	2490400000.0
Q99MD9	Nasp	1585100000.0	714300000.0	3074500000.0	634880000.0
