term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
regulation of protein secretion (GO:0050708),GO_Biological_Process_2021,0.6443383165336977,1.9327176946798088,0.0,0.12484434625426792,10/18,16.00%,Adam9;Tgfb3;Tgfb1;Ang;Fga;Fgb;Ppia;Tgfb2;Dnm1l;Cd2ap
positive regulation of secretion by cell (GO:1903532),GO_Biological_Process_2021,0.6995085620809883,1.9939703205552186,0.0,0.13673428399276963,10/16,16.00%,Adam9;Tgfb3;Tgfb1;Ang;Fga;Fgb;Ppia;Tgfb2;Dnm1l;Cd2ap
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100),GO_Biological_Process_2021,0.6588893779736269,1.8798609563174036,0.0,0.13673428399276963,4/15,2.89%,Tgfb3;Tgfb1;Adam17;Sulf1
regulation of GTPase activity (GO:0043087),GO_Biological_Process_2021,0.5912869303039453,1.7250975910355273,0.008,0.18689495882707371,8/18,15.12%,Ccl2;Zc3h15;Plxnb2;Sod1;S100a10;Ccl7;Tbc1d15;Tgm2
positive regulation of protein localization to nucleus (GO:1900182),GO_Biological_Process_2021,0.5946619140943313,1.7340606895240853,0.019305019305019305,0.1959716523685192,7/18,10.78%,Tcp1;Tgfb1;Cct6a;Cct7;Cct8;Lif;Cct5
iron ion homeostasis (GO:0055072),GO_Biological_Process_2021,0.5277079277421638,1.6768004547171678,0.012,0.20881703153243622,4/22,6.24%,Neo1;Nedd8;Heph;Sod1
Rheumatoid arthritis,KEGG_2019_Mouse,0.5635691160173731,1.6894124324291886,0.012345679012345678,0.21203722300328043,6/19,7.22%,Tgfb3;Ccl2;Tgfb1;Atp6v1f;Atp6v1d;Atp6v1b2
TGF-beta signaling pathway,KEGG_2019_Mouse,0.5238221196703103,1.5783026601400265,0.03690036900369004,0.21238401285398675,5/20,3.51%,Ppp2ca;Neo1;Tgfb3;Tgfb1;Nbl1
positive regulation of GTPase activity (GO:0043547),GO_Biological_Process_2021,0.5824657885019208,1.6491692602595867,0.015503875968992248,0.2126564905938274,6/16,15.12%,Ccl2;Zc3h15;S100a10;Ccl7;Tbc1d15;Tgm2
positive regulation of protein transport (GO:0051222),GO_Biological_Process_2021,0.5788042354838459,1.7439351436663633,0.011904761904761904,0.21476200040168708,11/18,16.00%,Adam9;Tgfb3;Tgfb1;Ang;Fga;Pdcd10;Fgb;Ppia;Tgfb2;Dnm1l;Cd2ap
response to lipopolysaccharide (GO:0032496),GO_Biological_Process_2021,0.4872774182411736,1.5816876071919352,0.014150943396226415,0.21839938267037345,6/27,5.78%,Cxcl1;Adam9;Ccl2;Adam17;Hnrnpa0;Plaa
Cell cycle,KEGG_2019_Mouse,0.5320832761478798,1.584861137484391,0.01556420233463035,0.22566110999531364,8/19,15.69%,Mad2l1;Tgfb3;Tgfb1;Ywhae;Ywhah;Tgfb2;Ywhab;Mcm2
cellular transition metal ion homeostasis (GO:0046916),GO_Biological_Process_2021,0.5100171772346936,1.6521763604720983,0.004,0.22753017217769175,5/23,8.05%,Nedd8;Heph;Sod1;Atox1;Arf1
positive regulation of cellular component organization (GO:0051130),GO_Biological_Process_2021,0.5220336801487472,1.6152464944455422,0.021645021645021644,0.23535707112730608,6/21,5.73%,Tgfb3;Bid;Tgfb1;Brk1;Gba;Bax
regulation of focal adhesion assembly (GO:0051893),GO_Biological_Process_2021,0.5487989374466832,1.585514969974339,0.018518518518518517,0.23806103280838342,5/16,13.36%,Col16a1;Rock2;Macf1;S100a10;Rac1
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101),GO_Biological_Process_2021,0.6122330897787971,1.7543211177063973,0.010752688172043012,0.2383932516569592,4/15,3.51%,Ppm1a;Tgfb1;Adam17;Nbl1
positive regulation of protein serine/threonine kinase activity (GO:0071902),GO_Biological_Process_2021,0.5706348430203435,1.5974393967541418,0.025547445255474453,0.24840061592019816,3/15,2.48%,Ppp2ca;Tgfb1;Adam17
cellular response to organic substance (GO:0071310),GO_Biological_Process_2021,0.5511414754274929,1.5857045245782937,0.047244094488188976,0.25266117694316126,3/16,2.06%,Khsrp;Ccl2;Tgfb1
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),GO_Biological_Process_2021,0.567146058401443,1.6154823007526773,0.01593625498007968,0.25334713488961325,3/18,2.48%,Ppm1a;Tgfb1;Adam17
cellular response to lipopolysaccharide (GO:0071222),GO_Biological_Process_2021,0.5059562848598457,1.5153659547682872,0.047619047619047616,0.25497971480216913,5/21,5.78%,Cxcl1;Adam9;Ccl2;Tgfb1;Plaa
positive regulation of protein secretion (GO:0050714),GO_Biological_Process_2021,0.5821075375451911,1.7733591602744012,0.004166666666666667,0.2574914641494276,12/19,17.75%,Adam9;Tgfb3;Tgfb1;Ang;Rbp4;Fga;Fgb;Ppia;Tgfb2;Dnm1l;Cd2ap;C1qtnf3
RNA splicing (GO:0008380),GO_Biological_Process_2021,0.4548750170547831,1.5401737421632236,0.01507537688442211,0.2599508411518855,6/29,6.40%,Khsrp;Ppp2ca;Snrpf;Nono;Lsm6;Snrpg
Human T-cell leukemia virus 1 infection,KEGG_2019_Mouse,0.47651702661673306,1.5312105601648187,0.02459016393442623,0.26103817853165107,5/23,5.73%,Mad2l1;Tgfb3;Tgfb1;Canx;Bax
