nodeA_symbol	nodeB_symbol	combined_score
Rps25	Rpl14	0.999
Rps18	Rps13	0.999
Dsp	Jup	0.999
Psmc4	Psmc3	0.999
Uba3	Nedd8	0.999
Rps18	Rps28	0.999
Rps18	Rpl18	0.999
Rps18	Rps14	0.999
Rps18	Rpl14	0.999
Rps18	Rps25	0.999
Rps18	Rps20	0.999
Eif3a	Eif3e	0.999
Rps18	Rps8	0.999
Rps18	Rps21	0.999
Cops4	Gps1	0.999
Tcp1	Cct5	0.999
Eif4b	Eif4e	0.999
Cops4	Cops8	0.999
Cops8	Cops6	0.999
Cops4	Cops5	0.999
Eif3a	Eif3h	0.999
Pfdn1	Pfdn5	0.999
Cops5	Cops6	0.999
Psmc2	Psmc5	0.999
Rps16	Rpl27	0.999
Rps16	Rps8	0.999
Rps16	Rplp0	0.999
Rps13	Rpl14	0.999
Rps16	Rps17	0.999
Rps16	Rps25	0.999
Rps16	Rps21	0.999
Rps16	Rpsa	0.999
Rps16	Rps18	0.999
Psmd14	Psmc3	0.999
Psmc2	Psmd5	0.999
Lrp1	Apoe	0.999
Ube2v1	Ube2n	0.999
Psmc2	Psmd14	0.999
Arpc2	Arpc5	0.999
Psmc2	Psmc3	0.999
Psmc2	Psmc4	0.999
Psmd14	Psmc4	0.999
Cops4	Cops6	0.999
Dctn2	Dctn3	0.999
Uba3	Nae1	0.999
Cops2	Cops5	0.999
Tceb2	Tceb1	0.999
Cct5	Cct7	0.999
Cops2	Gps1	0.999
Rps14	Rpl18	0.999
Cops2	Cops4	0.999
Psmd6	Psmc5	0.999
Cops2	Cops8	0.999
Psmd6	Psmd12	0.999
Fus	Tardbp	0.999
Eftud2	Snrnp200	0.999
Cops2	Cops6	0.999
Eif4g1	Eif4e	0.999
Rps8	Rps13	0.999
Ube2n	Ube2v2	0.999
Lsm4	Lsm8	0.999
Lsm4	Lsm6	0.999
Rps3	Rps16	0.999
Rps3	Rps21	0.999
Rps14	Rps28	0.999
Rps14	Rpl14	0.999
Rps14	Rps13	0.999
Rps14	Rps20	0.999
Lsm2	Lsm8	0.999
Lsm2	Lsm6	0.999
Lsm2	Lsm4	0.999
Sec23a	Sec13	0.999
Sec23a	Sec31a	0.999
Tcp1	Cct7	0.999
Rps8	Rpl27	0.999
Rps8	Rpl14	0.999
Rps8	Rpl22	0.999
Psma6	Psmb4	0.999
Tcp1	Cct6a	0.999
Rps14	Rps21	0.999
Psma6	Psmc5	0.999
Rps14	Rps25	0.999
Cct5	Cct6a	0.999
Rps14	Rps8	0.999
Rps14	Rpl27	0.999
Ndufv2	Uqcrfs1	0.999
Rps16	Rps19	0.999
Tln1	Itgb1	0.999
Gnb2l1	Rpl18	0.999
Rps19	Rpl18	0.999
Rps19	Rps13	0.999
Rps19	Rps20	0.999
Gnb2l1	Rps3a	0.999
Pgk1	Tpi1	0.999
Psmb4	Psmb10	0.999
Gnb2l1	Rps28	0.999
Gnb2l1	Rps21	0.999
Gnb2l1	Rps16	0.999
Snrpd2	Snrpd3	0.999
Gnb2l1	Rps13	0.999
Gnb2l1	Rps20	0.999
Gnb2l1	Rps25	0.999
Gnb2l1	Rpsa	0.999
Cct6a	Cct7	0.999
Sec13	Sec31a	0.999
Actr3	Arpc2	0.999
Snrpd2	Snrpg	0.999
Rps19	Rps28	0.999
Rps19	Rps14	0.999
Rps19	Rpl14	0.999
Rps19	Rpl27	0.999
Psmc5	Psmc4	0.999
Psmc5	Psmd14	0.999
Psmd5	Psmc3	0.999
Gnb2l1	Rplp0	0.999
Wdr61	Cdc73	0.999
Gnb2l1	Rpl14	0.999
Rps19	Rps18	0.999
Gnb2l1	Rps14	0.999
Itgb1	Itga3	0.999
Rps19	Rps21	0.999
Gnb2l1	Rps8	0.999
Rps19	Rps25	0.999
Gnb2l1	Rpl27	0.999
Rps19	Rps17	0.999
Rps19	Rplp0	0.999
Rps19	Rps8	0.999
Gnb2l1	Rps19	0.999
Ncl	Npm1	0.999
Polr2h	Polr2e	0.999
Rps16	Rps14	0.999
Rplp0	Rpl18	0.999
Rplp0	Rps21	0.999
Rplp0	Rps25	0.999
Rplp0	Rps13	0.999
Rplp0	Rps20	0.999
Rplp0	Rps14	0.999
Rps16	Rps13	0.999
Rplp0	Rpl14	0.999
Rplp0	Rps28	0.999
Rps16	Rps20	0.999
Snrpd2	Lsm2	0.999
