accession,symbol,string_id,degree,betweenness,community,log2FC,regulated
P60710,Actb,10090.ENSMUSP00000098066,137,0.12128574067800685,2,0.8704846462368684,UP
P62908,Rps3,10090.ENSMUSP00000032998,100,0.014172782388955267,3,-0.6696392828766673,DOWN
P07901,Hsp90aa1,10090.ENSMUSP00000091921,97,0.043719777485469555,2,-1.62353781343302,DOWN
P68040,Gnb2l1,10090.ENSMUSP00000020640,93,0.025032119071729725,3,-0.9932016763244156,DOWN
P80313,Cct7,10090.ENSMUSP00000032078,86,0.01412055712015335,2,0.6296468464817313,UP
Q64737,Gart,10090.ENSMUSP00000023684,83,0.03794349229400681,1,-0.8881239330156143,DOWN
P60867,Rps20,10090.ENSMUSP00000120528,82,0.008591244029164603,3,-2.190416258716678,DOWN
P11983,Tcp1,10090.ENSMUSP00000116108,81,0.01799204931084152,2,2.319721851086117,UP
P29595,Nedd8,10090.ENSMUSP00000010520,81,0.014869699708499464,2,2.7086945783767455,UP
O35593,Psmd14,10090.ENSMUSP00000028278,80,0.01670523744728381,2,-0.6518655762049165,DOWN
O08810,Eftud2,10090.ENSMUSP00000021306,79,0.011532598636800827,3,-0.906347481661901,DOWN
P14869,Rplp0,10090.ENSMUSP00000083705,77,0.011573853466765335,3,-1.5400014615832256,DOWN
P80316,Cct5,10090.ENSMUSP00000022842,77,0.009585705691597193,2,0.5940568331067227,UP
P14206,Rpsa,10090.ENSMUSP00000035105,77,0.009037767011824955,3,-0.6279027570305309,DOWN
P14131,Rps16,10090.ENSMUSP00000103940,72,0.004599930173202318,3,-1.2635263373715897,DOWN
P17751,Tpi1,10090.ENSMUSP00000130858,70,0.022250172646225023,1,0.643627629696915,UP
Q91VC3,Eif4a3,10090.ENSMUSP00000026667,69,0.010162531864003694,3,-1.2380433810300056,DOWN
P62264,Rps14,10090.ENSMUSP00000157948,67,0.0032874158538001887,3,-1.9945586403155764,DOWN
P97351,Rps3a,10090.ENSMUSP00000029722,67,0.005336339201082621,3,-0.7257891149689446,DOWN
P62301,Rps13,10090.ENSMUSP00000126294,65,0.0026369107062208723,3,-1.00064656528211,DOWN
Q9CZX8,Rps19,10090.ENSMUSP00000104068,65,0.004119229378537691,3,-1.44093237953762,DOWN
P09405,Ncl,10090.ENSMUSP00000027438,65,0.014216059775993136,3,-0.6499682934044572,DOWN
P62242,Rps8,10090.ENSMUSP00000099757,64,0.0032002071030807645,3,-1.512913220751737,DOWN
P62270,Rps18,10090.ENSMUSP00000008812,63,0.0037213536629386286,3,-0.9696663750554392,DOWN
P62858,Rps28,10090.ENSMUSP00000134615,62,0.004936643194060274,3,1.6089385977910655,UP
O35864,Cops5,10090.ENSMUSP00000027050,62,0.009643690005681545,2,-0.9477312357390952,DOWN
P62852,Rps25,10090.ENSMUSP00000079180,61,0.0016711912468835768,3,-1.60228958721022,DOWN
Q61937,Npm1,10090.ENSMUSP00000075067,59,0.005289377095987029,3,-1.1418641344599323,DOWN
P61979,Hnrnpk,10090.ENSMUSP00000112104,59,0.011867235821862325,3,-0.6545824232222437,DOWN
P61358,Rpl27,10090.ENSMUSP00000102870,59,0.0033643264721268844,3,-0.8821756409242089,DOWN
Q9D0I8,Mrto4,10090.ENSMUSP00000099561,59,0.006364434493950291,3,-1.9418538173678817,DOWN
P09055,Itgb1,10090.ENSMUSP00000087457,58,0.038387030724892246,0,-0.8355880835228321,DOWN
P09411,Pgk1,10090.ENSMUSP00000080302,57,0.013734464568353158,1,-0.7429405541323525,DOWN
P35980,Rpl18,10090.ENSMUSP00000147816,57,0.0051019222429046435,3,-1.5168985174032217,DOWN
Q8K2B3,Sdha,10090.ENSMUSP00000022062,56,0.01654292013845495,1,-0.9859452988247824,DOWN
P60229,Eif3e,10090.ENSMUSP00000022960,56,0.0017351056244823897,3,-1.3851427640908534,DOWN
Q7TMK9,Syncrip,10090.ENSMUSP00000133649,55,0.0029542872619255423,3,-1.1470696031131744,DOWN
P50580,Pa2g4,10090.ENSMUSP00000114434,55,0.004175777770868693,3,-1.3648034444220294,DOWN
Q9CQR2,Rps21,10090.ENSMUSP00000058432,55,0.001678234629394141,3,1.1262874580078348,UP
Q921F2,Tardbp,10090.ENSMUSP00000081142,55,0.013335385153569945,3,0.8202903289720966,UP
P60122,Ruvbl1,10090.ENSMUSP00000032165,54,0.006885835261795855,2,0.8653137289794295,UP
P99026,Psmb4,10090.ENSMUSP00000005923,53,0.007688257089323751,2,0.6205146079332459,UP
Q99L45,Eif2s2,10090.ENSMUSP00000096777,53,0.0013220004232677837,3,2.685688325738035,UP
Q9Z1Q9,Vars,10090.ENSMUSP00000084572,53,0.012572208310778188,1,-0.9433090709874062,DOWN
P08228,Sod1,10090.ENSMUSP00000023707,53,0.023569799401986606,2,0.7302943537140916,UP
O88545,Cops6,10090.ENSMUSP00000019638,52,0.003907149013847147,2,-0.9507335047141574,DOWN
Q9D8W5,Psmd12,10090.ENSMUSP00000021063,52,0.006722654190821762,2,-1.080683394028822,DOWN
P54775,Psmc4,10090.ENSMUSP00000032824,52,0.007028206010572541,2,-0.7253255918155094,DOWN
P62196,Psmc5,10090.ENSMUSP00000021049,51,0.00434813341857057,2,-0.9880422409065096,DOWN
Q99KI0,Aco2,10090.ENSMUSP00000023116,51,0.01022111108308797,1,-0.7816749721243317,DOWN
P62317,Snrpd2,10090.ENSMUSP00000037597,51,0.0048520393780173065,3,-0.7472324622093196,DOWN
P62960,Ybx1,10090.ENSMUSP00000078589,50,0.00877909670449211,3,-1.432988803869372,DOWN
P62309,Snrpg,10090.ENSMUSP00000086987,50,0.004678991190997199,3,1.4356533225030812,UP
Q9CR57,Rpl14,10090.ENSMUSP00000131489,50,0.0017229556602746871,3,0.7129568208095293,UP
Q9CZU6,Cs,10090.ENSMUSP00000005826,49,0.011116582385841017,1,-0.7631732067787591,DOWN
Q8BWY3,Etf1,10090.ENSMUSP00000025218,49,0.0037147762492397295,3,-1.145421044687589,DOWN
Q8CFX1,H6pd,10090.ENSMUSP00000030830,48,0.014429698056701825,1,-0.6912397144443057,DOWN
P04202,Tgfb1,10090.ENSMUSP00000002678,47,0.014728488375367423,0,1.4830693728942523,UP
P23116,Eif3a,10090.ENSMUSP00000025955,47,0.0013730669608057239,3,-2.132723372255948,DOWN
P62320,Snrpd3,10090.ENSMUSP00000020397,46,0.0037429471027663006,3,-0.7418145246969481,DOWN
P35564,Canx,10090.ENSMUSP00000137440,46,0.02359043665890953,0,1.5056244841929938,UP
P10148,Ccl2,10090.ENSMUSP00000000193,46,0.012388119768862477,0,1.357408149218568,UP
P08226,Apoe,10090.ENSMUSP00000133302,46,0.018854040657305025,0,-0.6733132428798184,DOWN
P70677,Casp3,10090.ENSMUSP00000147767,46,0.007268720462687414,0,-1.0341917334752928,DOWN
Q80UW8,Polr2e,10090.ENSMUSP00000004786,46,0.005065686970638015,2,-1.2193037131147588,DOWN
Q99JI4,Psmd6,10090.ENSMUSP00000022256,45,0.010480047251140106,2,1.007160225540049,UP
Q9D0E1,Hnrnpm,10090.ENSMUSP00000120115,44,0.002239819571089789,3,1.495650264705147,UP
Q8VEK3,Hnrnpu,10090.ENSMUSP00000047571,44,0.0031450997387102815,3,-0.5935692462300302,DOWN
Q9Z0N1,Eif2s3x,10090.ENSMUSP00000059395,44,0.0008486714974704219,3,-1.0801577143466137,DOWN
P46471,Psmc2,10090.ENSMUSP00000030769,44,0.0034251320468795007,2,-1.291438729680504,DOWN
Q9D1M0,Sec13,10090.ENSMUSP00000032440,43,0.015995569391095275,0,-0.7688140889047748,DOWN
Q9D3D9,Atp5d,10090.ENSMUSP00000101006,43,0.005403990376319424,1,-0.7881840927065521,DOWN
P62315,Snrpd1,10090.ENSMUSP00000002551,43,0.0019758895175645873,3,-0.9865948704510032,DOWN
Q9QUM9,Psma6,10090.ENSMUSP00000021412,43,0.0035562538871118784,2,0.6024676220981903,UP
P67984,Rpl22,10090.ENSMUSP00000118787,42,0.0004566682278242755,3,-1.820774741318806,DOWN
P12032,Timp1,10090.ENSMUSP00000110999,42,0.008059351924010853,0,-0.7455621429568967,DOWN
Q9CY58,Serbp1,10090.ENSMUSP00000039110,42,0.0005474172689269358,3,-0.7519771272733323,DOWN
Q91WK2,Eif3h,10090.ENSMUSP00000022925,42,0.005281793853755002,3,-1.391674519573029,DOWN
O88685,Psmc3,10090.ENSMUSP00000071054,41,0.0029015556508908864,2,-0.8610519175832458,DOWN
P63276,Rps17,10090.ENSMUSP00000079628,41,0.0023008742853077445,3,-1.249785229942761,DOWN
Q9WTX6,Cul1,10090.ENSMUSP00000031697,41,0.0039541293293944854,2,-1.046517062172833,DOWN
P63073,Eif4e,10090.ENSMUSP00000029803,40,0.004688494204555065,3,-0.9977379721279764,DOWN
P83940,Tceb1,10090.ENSMUSP00000139480,40,0.0031131416379694323,2,0.5926783383110844,UP
P80317,Cct6a,10090.ENSMUSP00000158738,39,0.006372837134947693,2,0.9423347496255264,UP
P62869,Tceb2,10090.ENSMUSP00000066210,39,0.002783734148707906,2,-1.534873666084625,DOWN
Q9D819,Ppa1,10090.ENSMUSP00000020286,39,0.00787545882983244,1,-0.7544236316165847,DOWN
Q9WUK2,Eif4h,10090.ENSMUSP00000143910,38,0.00038358759460645843,3,-2.6429001392340528,DOWN
P63330,Ppp2ca,10090.ENSMUSP00000020608,38,0.007992388350248921,2,1.899995362253612,UP
P07356,Anxa2,10090.ENSMUSP00000034756,37,0.013819359599188815,0,-0.7194671417940477,DOWN
P48036,Anxa5,10090.ENSMUSP00000029266,37,0.005907203971705582,0,-1.429467021036399,DOWN
Q6NZJ6,Eif4g1,10090.ENSMUSP00000111120,37,0.0036974863845504755,3,-1.0530377521073069,DOWN
P63158,Hmgb1,10090.ENSMUSP00000082682,37,0.007443774544084305,0,-2.318479460104534,DOWN
P47811,Mapk14,10090.ENSMUSP00000004990,37,0.007409267667712051,0,-0.6503477228953347,DOWN
Q8BP48,Metap1,10090.ENSMUSP00000029804,37,0.0038241836006058837,3,-1.0458550221371707,DOWN
P61957,Sumo2,10090.ENSMUSP00000115044,36,0.00554219273520855,2,-0.7595574043183965,DOWN
Q8BMJ3,Eif1ax,10090.ENSMUSP00000084387,35,0.0006361646086261454,3,-1.7486460199332847,DOWN
Q6P4T2,Snrnp200,10090.ENSMUSP00000099509,35,0.001337571455896119,3,-1.248403364500563,DOWN
Q8VDD5,Myh9,10090.ENSMUSP00000016771,35,0.00937281491728877,0,-1.1739641628651645,DOWN
P00015,Cyct,10090.ENSMUSP00000028430,35,0.0069004480052540194,1,1.1610974953464188,UP
Q60864,Stip1,10090.ENSMUSP00000025918,35,0.0020823529297981994,2,-0.951480044587343,DOWN
P62715,Ppp2cb,10090.ENSMUSP00000009774,34,0.0037375752230093392,2,-4.070062117057368,DOWN
O88544,Cops4,10090.ENSMUSP00000048416,34,0.0035081891918668762,2,-0.6562463822321525,DOWN
P62259,Ywhae,10090.ENSMUSP00000070993,34,0.003985227960242718,2,0.6389613709349938,UP
Q01149,Col1a2,10090.ENSMUSP00000031668,34,0.008679104746888369,0,-0.7981969097570871,DOWN
O08749,Dld,10090.ENSMUSP00000106481,33,0.0052212883286189985,1,-0.8376431828259083,DOWN
Q9D6J6,Ndufv2,10090.ENSMUSP00000121557,33,0.0063926396187736515,1,-3.386205353143643,DOWN
