UniProt Accession Number,Gene names,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,ratio_rep1,ratio_rep2,log2_rep1,log2_rep2,log2FC,complete,regulated,onoff
P19137,Lama1,221670000000.0,107470000000.0,119690000000,120100000000,1.8520344222574985,0.8948376353039134,0.8891109130466827,-0.160302159987314,0.3644043765296843,True,NO CHANGE,
P16546,Sptan1,11001000000.0,8045800000.0,6124400000,7281800000,1.7962575925804978,1.1049191134060259,0.8449942548065262,0.14394075969881887,0.4944675072526725,True,NO CHANGE,
P02469,Lamb1,142020000000.0,60200000000.0,81201000000,109600000000,1.7489932389995198,0.5492700729927007,0.8065247123123288,-0.8644124062008247,-0.028943846944247953,True,NO CHANGE,
P02468,Lamc1,131780000000.0,57350000000.0,91938000000,87224000000,1.4333572625029911,0.6575025222415849,0.5193982443537388,-0.6049316661577882,-0.04276671090202466,True,NO CHANGE,
Q9JHU4,Dync1h1,1933700000.0,655880000.0,855090000,237200000,2.261399384860073,2.7650927487352446,1.1772158083979973,1.4673278731891746,1.322271840793586,True,UP,
Q62261,Sptbn1,3667500000.0,4221700000.0,1507700000,2351600000,2.432513099422962,1.7952457901003571,1.2824475741417045,0.8441813793593722,1.0633144767505383,True,UP,
Q05793,Hspg2,12600000000.0,13960000000.0,8894500000,23877000000,1.4166057676091968,0.5846630648741467,0.5024383212421163,-0.7743226405739936,-0.13594215966593864,True,NO CHANGE,
Q64727,Vcl,31161000000.0,30374000000.0,25489000000,44538000000,1.2225273647455766,0.6819794332929184,0.28986675846249177,-0.552199862872103,-0.1311665522048056,True,NO CHANGE,
Q80X90,Flnb,2996900000.0,5937000000.0,843850000,3345100000,3.551460567636428,1.774834833039371,1.828412466965017,0.8276847729879356,1.3280486199764763,True,UP,
P19096,Fasn,7212000000.0,5586600000.0,3690400000,5894900000,1.9542597008454368,0.947700554716789,0.9666221992540481,-0.07749681262966701,0.44456269331219056,True,NO CHANGE,
P01027,C3,24116000000.0,122930000000.0,20733000000,88345000000,1.1631698258814451,1.391476597430528,0.21806174949408233,0.47661664488594907,0.3473391971900157,True,NO CHANGE,
P11087,Col1a1,28260000000.0,134990000000.0,20608000000,96745000000,1.3713121118012421,1.3953175874722208,0.45555696710668464,0.4805935304587657,0.46807524878272516,True,NO CHANGE,
Q8BTM8,Flna,3337500000.0,9931500000.0,3247700000,9942700000,1.0276503371616836,0.9988735454152292,0.039349464283745056,-0.001626046449011983,0.018861708917366535,True,NO CHANGE,
P02463,Col4a1,13491000000.0,22020000000.0,7696100000,10721000000,1.7529657878665819,2.0539128812610765,0.8097978397044863,1.0383749896219705,0.9240864146632284,True,UP,
Q9QXS1,Plec,839810000.0,2173400000.0,1154500000,1683000000,0.7274231268947596,1.2913844325609032,-0.4591333008975317,0.3689185408377064,-0.04510738002991263,True,NO CHANGE,
P10493,Nid1,122840000000.0,87879000000.0,83562000000,169460000000,1.4700461932457336,0.5185825563554821,0.5558614895646833,-0.9473544160441885,-0.1957464632397526,True,NO CHANGE,
