© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Signaling by ROBO receptors	2.17E01	1.76E-01	2.941	ADRM1,EIF4A3,EIF4G1,ELOB,ELOC,ENAH,ETF1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,SLIT3,VASP	
GAIT Translation Signaling Pathway	2.13E01	1.79E-01	-3.244	APOE,EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4E,EIF4G1,HNRNPL,IARS1,Lyz1/Lyz2,MAPK1,PAIP1,RACK1,RARS1,RBP4,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,SYNCRIP,VPS28	
Eukaryotic Translation Initiation	2.08E01	2.08E-01	4.320	EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4B,EIF4E,EIF4G1,EIF4H,EIF5,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,VPS28	
Microautophagy Signaling Pathway	2E01	2.3E-01	1.043	CHMP2A,CHMP3,CHMP4B,COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,DNM1L,LAMP2,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SEC13,SEC23A,SEC23B,SEC31A,VPS28	
Neutrophil degranulation	1.91E01	1.3E-01	4.572	ALAD,ALDOC,ANPEP,ANXA2,AP1M1,APEH,ARPC5,ARSB,ATP6V1D,B4GALT1,CAB39,CHI3L1,CPPED1,CSNK2B,CTSH,DERA,DPP7,DSP,DYNC1H1,FGL2,FUCA1,FUCA2,GLB1,GM2A,GNS,GYG1,HEBP2,HEXB,HMGB1,HSP90AA1,IMPDH2,IQGAP1,JUP,LAMP1,LAMP2,LGALS3,LTF,MAPK1,MAPK14,MIF,MLEC,MVP,NCSTN,NEU1,NIT2,OSTF1,PA2G4,PDAP1,PKP1,PRCP,PSMB7,PSMC2,PSMC3,PSMD12,PSMD14,PSMD6,PTX3,RAB18,RAB5C,SDCBP,SRP14,TNFRSF1B	
EIF2 Signaling	1.86E01	1.63E-01	0.905	ACTB,EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4E,EIF4G1,EIF5,MAPK1,PAIP1,PPP1CA,PPP1CB,PPP1CC,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,VPS28	
Regulation of eIF4 and p70S6K Signaling	1.78E01	1.83E-01	0.378	EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4E,EIF4G1,ITGA3,ITGB1,MAPK1,MAPK14,PAIP1,PPM1L,PPP2CA,PPP2CB,PTPA,RACK1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,VPS28	
Nonsense-Mediated Decay (NMD)	1.69E01	2.31E-01	3.053	EIF4A3,EIF4G1,ETF1,PPP2CA,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA	
Response of EIF2AK4 (GCN2) to amino acid deficiency	1.69E01	2.31E-01	3.053	EIF2S2,EIF2S3,IMPACT,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,VPS28	
Processing of Capped Intron-Containing Pre-mRNA	1.63E01	1.52E-01	2.412	CPSF7,CWC15,DDX46,DNAJC8,EFTUD2,EIF4A3,EIF4E,FUS,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,LSM2,LSM4,LSM5,LSM6,LSM8,NUP37,PABPN1,PLRG1,POLR2D,POLR2E,POLR2H,POLR2I,PPIH,PPIL3,PRPF19,PRPF40A,SEC13,SF3A1,SF3B5,SNRNP200,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPF,SNRPG,SRRT,TPR,UBL5,YBX1	
