© 2000-2026 QIAGEN. All rights reserved.

ID	Molecules in Network	Score	Focus Molecules	Top Diseases and Functions
1	BAG2,BAX,caspase 3/7,CDK:DDK:MCM10:active pre-replicative complex:CDC45:RPA1-4,CNN3,COPS5,CSDE1,DLD,DNAJA1,FUS,FXR1,HDDC2,HNRNPU,HNRNPUL1,IMPDH2,MCM2,MCM6,NT5C3B,PCMT1,PPP6R3,PRPF40A,RPA3,SEC23B,SERBP1,STRAP,SUGT1,TC-NER incision,TC-NER incision complex: 5'-incised damaged DNA:trimmed nascent mRNA:(PCNA:POLD,POLE), (MonoUb:K164-PCNA:POLK):RPA:RFC,TC-NER pre-incision complex:Open bubble damaged DNA template:RPA:ERCC5:trimmed nascent mRNA,TNPO2,transportin,UBE2H,USP9X,WDR90,YWHAH	45	29	[Embryonic Development, Endocrine System Development and Function, Organ Development]
2	A2m,ACY1,AS160:14-3-3:IRAP,BBSome,BLMH,C12orf57,CA2,CA5B,CACHD1,carbonic anhydrase,CDKN2AIP,CDKN2AIPNL,COPRS,EGLN,Extracellular matrix ligands,GRHPR,IFN gamma stimulated aminopeptidases,IMPA2,IMPACT,LNPEP,LZTFL1,MEIG1,MEMO1,METAP1,NANP,NCOA5,NTAQ1,PDGF A and B chains:ECM,POFUT1,QSOX2,SPP1,SSU72,TPP2,TXNDC12,WDR54	45	28	[Developmental Disorder, Neurological Disease, Ophthalmic Disease]
3	ABAT,AOC3,AOX1,ATOX1,C1QTNF5,Calpain2,CCS,COPII cargo receptors:SAR1B:GTP:SEC23:SEC24,COPII cargo:receptors,COPII cargo:receptors:v:SNAREs:GOLGA2:GORASP1:USO1 homodimer,CSRP1,CYB5A,CZIB,DDAH1,DDAH2,EXTL2,GALK1,GET3,GPX7,HIBCH,KYAT3,LMAN2,MCFD2,NAXE,NPL,RABIF,RANBP3,SCRN2,SGTA,Spink12,SYAP1,Tail-anchored protein:SGTA:BAG6:GET4:UBL4A:ASNA1:ATP,TEX101,THUMPD1,VEGF	43	29	[Amino Acid Metabolism, Carbohydrate Metabolism, Small Molecule Biochemistry]
4	Acat2/Acat3,APLP2,Apoptosome,Azurophil granule lumen proteins,beta-L-N-acetylhexosaminidase,CBLN4,CCL2,CIAP,CPPED1,DPP7,ECM,FAM20C:FAM20C substrates,FSTL1,FUCA2,GATD1,GM2A,GOLM1,growth factor,HEBP2,HGFAC,MBTPS1,METRNL,NAGA,PRKCSH,PRSS23,PRSS35,serine protease,SERPINC1,SERPINE2,SIAE,sodium channel,STC2,TMEM132A,VLDL/cholesterol,WFDC2	36	25	[Cardiovascular System Development and Function, Cellular Movement, Connective Tissue Development and Function]
5	14-3-3,CCNK:CDK12:CDK12-Phosphorylated Elongation Complex at DNA repair genes,CD81,ECHS1,Elongation Complex at DNA Repair Genes,FBP1,FIS1,GLB1,H1-1,HIV-1 elongation,HIV-1 elongation complex containing Tat,HNRNPK,importin alpha,laminin (family),MCEE,MOV10,MRTO4,MVD,NFAT (family),NONO,P-TEFb,PA2G4,PNKP,RACK1,RPL23A,RPL8,RPLP0,RPSA,RRBP1,SUPT16H,SYNCRIP,WDR5,XRCC4,YBX1,YBX3	32	26	[Cancer, Cell Cycle, Gene Expression]
6	ADH5,Amyloid fibril main peptide chains,beta-galactosidase,CAPN2,CNRIP1,COX5A,COX5B,Cytochrome bc1,DPYSL3,DPYSL4,FGF,ISCA2,ITM2B,KU,Mitochondrial ETC 1,Mitochondrial respiratory transport chain,MSRB3,NAGK,NDUFV2,NFU1,OTUB1,Oxphos,p85 PIK3R,PCSK9,PGD,PHGDH,proprotein convertase,SDHA,SLIT3,succinate dehydrogenase,SUMF1,SUMF2,TARDBP,UQCRFS1,UQCRH	29	24	[Developmental Disorder, Hereditary Disorder, Metabolic Disease]
7	ANXA2,CDC2,cyclin A,FABP4,FHL2,FLNB,FSH,GABARAPL1,GNRH,HEBP2,HNRNPL,IgM,IL1RL1,IPO7,LMNB1,MDH1,Mmp3,MYL12B,NAP,NCK,NSF,PDGFR,PI3K p85,PIK3 p110,PLC gamma,PLCD1,PPP6C,RSK,SEMA4B,SOS,ST6GAL1,SYK/ZAP,TSC22D1,VAV,XPO7	29	20	[Cell Cycle, Cellular Development, Connective Tissue Development and Function]
8	AURK,calcineurin A,CILP,CLYBL,CYRIB,DCPH1,ERK,farnesyl transferase,FNTA,FNTB,GPD1L,NAA50,NUDT14,p38 SAPK,PALM2AKAP2,PDXP,peptidylprolyl isomerase,phosphatase,PP1/PP2A,PPCS,prenyltransferase,RAB21,RABGGTB,RABs:GDP,RGGT:CHMs:RABs:GDP,RMDN1,S100,S100A13,S100A14,S100A6,SMYD5,THNSL2,TKFC,TRIAP1,UBLCP1	28	23	[Dermatological Diseases and Conditions, Developmental Disorder, Hereditary Disorder]
9	ABHD14B,ANP32B,ANP32E,ATAC B,ATAC C,BZW1,CARS1,CIAO1,Deadenylated mRNA:Lsm1-7,EFTUD2,Ferritin,FKBP3,GLOD4,GLRX3,HEPH,HEXB,IARS1,LSM2-8,LSM4,LSM5,LSM6,LSM8,RARS1,RRM1,RSPH1,Spliceosomal Pre-B,SUMO2,TARS1,TXNDC17,U4 ATAC:U5:U6 ATAC,U4:U5:U6 tri-snRNP,U5 snRNP (no DDX23,PRPF6,TXNL4A),U5 snRNP Reactome,UAP1L1,VARS1	26	25	[Developmental Disorder, Hereditary Disorder, RNA Post-Transcriptional Modification]
10	26S proteasome Reactome,47S pre-rRNA:SSU processome,CAPRIN1,CCR4/NOT/BTG4/PABPN1L/mRNP,CHMP2/CHMP3/CHMP4/CHMP6,CHMP4B,EIF3A,EIF3E,EIF3F,EIF4B,EIF4E,EIF4G1,ESCRT Regulator,ESCRT-III/Cargo,mRNA:eIF4F:eIF4B:eIF4H,mRNP regulated by BTG4,PSMD9,RPL14,RPL22,RPL27,RPS11,RPS13,RPS14,RPS16,RPS17,RPS19,RPS2,RPS20,RPS26,RPS3A,RPS8,RPS9,SRP14,SSU Processome,Translatable mRNA	25	25	[Cellular Function and Maintenance, Protein Synthesis, RNA Post-Transcriptional Modification]
11	C1Q,Collagen type I,Collagen(s),Complement component 1,EPYC,Fibrinogen,G protein alpha i,GAS6,GBA1,HYOU1,IGF2,ITGA2B/ITGB3,LDL,MIA3,MIF,MMP14,NADPH oxidase,PDIA4,PDIA6,PF4,Platelet alpha granule contents,PLD,PLXNB2,RAC,RCN1,SERPING1,TGFB3,THBS2,TIMP1,TMSB4X,TPM3,trypsin,Tubb2b,tubulin alpha/beta,VCAN	23	21	[Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking]
12	19S proteasome,ABHD10,aconitase,ADPRS,APC/APC2,apyrase,arginase,ASL,BCAT2,Collagen type III,CRYZ,Cytoplasmic dynein,DTYMK,DUB,ENTPD5,FCGR3 (family),GART,glycosidase,HIC2,HSP27,Inflammasome,MIR124,N-cadherin,NES,p38 MAPK,P4HA1,PEA15,PRKD,RAB7,TBC1D15,TMTC3,tubulin (family),UCHL5,UCHL5:INO80,USP47	22	16	[Amino Acid Metabolism, Developmental Disorder, Hereditary Disorder]
