© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
RYR1	 	ion channel	 	 	 	1.66E-101	AHCY,AKR7A2,ANPEP,AOC3,APEH,APOE,BAG2,BCAT2,BLMH,BLVRA,BPNT1,CAPRIN1,CARS1,CAVIN1,CCT5,CCT6A,CCT7,CDC37,CHMP4B,CHORDC1,COL15A1,COL4A1,COPS2,COPS4,COPS5,COPS6,CSDE1,CZIB,DECR1,DLD,DNAJA2,DNM1L,DPP3,DYNC1H1,EDF1,EFTUD2,EHD1,EIF1AX,EIF2S2,EIF3A,Eif3c,EIF3E,EIF3F,EIF4A3,EIF4G1,ETF1,ETHE1,FABP4,FBLN5,FGA,FKBP3,FKBP4,FUS,FXR1,GARS1,GART,GC,GET3,GLOD4,GLRX3,GPD1L,GPS1,GYG1,HDGF,HERC4,HMGB1,HNRNPL,HNRNPM,HNRNPU,HSD17B4,HSP90AA1,HSPH1,HYOU1,IARS1,IDH3A,IMPDH2,IPO7,ITGB1,KHSRP,KPNA3,LAMA2,LAMP1,LAMP2,LMAN2,LMNB1,MAPK1,MAPK14,MAT2A,MATR3,MEMO1,MSRB3,MYLK,NAA25,NAE1,NCL,NID2,NONO,NQO2,NUDT2,NXN,OTUB1,PA2G4,PDCD6,PLAA,POSTN,PPA1,PPP5C,PPP6C,PPP6R3,PRKCSH,PRPF19,PSMA6,PSMC5,PSMD14,Pzp2,RAB18,RAB1B,RAB21,RACK1,RARS1,RBM3,RHEB,RNPEP,RPL14,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPN1,RPS11,RPS13,RPS14,RPS17,RPS18,RPS19,RPS2,RPS20,RPS25,RPS3,RPS3A,RPS8,RPS9,RPSA,RRBP1,SDHA,SEC13,SEC22B,SEC31A,SEPTIN11,SERBP1,SERPINC1,SERPING1,SERPINH1,SLMAP,SMS,SNRNP200,SNX5,ST13,STIP1,SYNCRIP,TARS1,TCP1,THRAP3,TLN1,TPP2,TPR,TRIP10,TWF2,TXNL1,UCHL5,UQCRH,USP47,USP9X,YBX1,YBX3,YKT6	 
MYC	 	transcription regulator	Activated	3.529	 	1.41E-38	ACACA,ACO2,ACTB,ACTR3,ADAM9,ADAMTS1,ADK,AHCY,ANXA5,BAX,BCAT2,CAD,CANX,CAPN2,CASP3,CD9,CDC34,COL14A1,COL15A1,COL1A2,COL4A1,COL5A1,COL5A2,COX5A,COX5B,CRIP1,CRYAB,CSDE1,CSPG4,CTBS,CUL1,DLD,DSP,EFTUD2,EIF1AX,EIF2S2,EIF4E,EIF4G1,ERH,EXT2,FABP4,FBLN5,FH,FNTA,FRZB,FSTL1,FUS,G6PD,GART,GM2A,H6PD,HLA-A,HMGN2,HNRNPU,HSP90AA1,HSPH1,IDH2,IDH3A,IFI35,IMPA2,IMPACT,IMPDH2,IPO7,ITGA3,ITGB1,ITM2B,JAG1,LAMP1,LAMP2,LRP8,LSM4,LUM,Lyz1/Lyz2,MACF1,MAD2L1,MAT2A,MCM2,MCM6,ME2,METAP1,MIF,MMP7,Mt1,MYG1,MYL9,NCL,NMI,NONO,NPM1,PA2G4,PARP1,PBK,PDLIM7,PGK1,PHGDH,POLR2D,POLR2E,POLR2H,PPP1CC,PPP2CA,PSMA6,PSMC4,PSMD14,PTMA,RARS1,RBBP7,RPA3,RPE,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,RUVBL1,S100A6,SCPEP1,SDCBP,SERBP1,SERPINE2,SERPINH1,SMS,SNRPD1,SNRPD2,SPP1,Sprr1a,SSBP1,STAT1,SUCLA2,SUMO2,TALDO1,TGFB1,THBS2,TIMP1,TLN1,TMSB4X,TPI1,TPP2,UBE2N,VARS1,YBX1,YBX3	553 (20)
TGFB1	-1.483	growth factor	Activated	2.422	 	1.57E-35	ACACA,ADAM17,ADAMTS4,ADI1,ADK,AIF1L,AK1,ANP32E,ANPEP,ANXA2,ANXA5,APOE,ARF4,ARPC2,BAX,BID,CAB39,CAPRIN1,CARS1,CASP3,CBR3,CCL2,Ccl7,CCT5,CCT6A,CD9,Ces2c,CHI3L1,CHMP3,CLDN4,CNN3,COL11A1,COL12A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL6A1,COL6A2,COL7A1,COX5A,CSPG4,CSRP1,CTSH,CTTN,Cxcl1,DNAJA1,DNAJB4,DPYSL3,DSC2,DSP,EGFR,EHD1,EIF2S2,EIF4A3,EIF4H,ENO3,EXT1,EXT2,FABP4,FBLN1,FBLN5,FGA,FLNB,FST,FUS,GARS1,GATM,Gbp2,GDF15,GNS,GPD1,GRHPR,GYG1,H2AX,H6PD,HADH,HAT1,HDGF,HEBP1,HEXB,HINT1,HMGB1,HMGCS1,HMGN2,HNRNPDL,HSP90AA1,HTRA1,IARS1,IGF2,IL1RL1,IRF3,ITGA3,ITGB1,ITIH5,JAG1,JUP,KPNA3,LAMA2,LAMC2,LAMP2,LANCL1,LASP1,LGALS3,LGALS9,LIF,LIFR,LOXL3,LSM2,LSM5,LSM6,MAPK1,MAPK14,MAT2A,MCM2,MCM6,ME2,METRNL,MFAP2,MIA3,MMP14,Mmp3,MMP7,MPRIP,MRC2,MVD,MYH11,MYH9,MYL12B,MYLK,MYOF,NCL,Nme1,NPM1,NUCB2,OGA,OSTF1,P4HA1,PA2G4,PARP1,PDHB,PDLIM1,PDLIM7,PFDN1,PGK1,PHGDH,PLAT,PODXL,POSTN,PPM1A,PPP2CA,PROCR,PSMC3,PSPH,PTGDS,PTX3,RAB18,RACK1,RBM3,RNH1,S100A6,SERPINE2,SERPINF1,SERPINH1,SHISA5,SLIT3,SORD,SPP1,SRI,STAT1,STC2,STRAP,SVEP1,SYNCRIP,TARDBP,TGFB1,TGFB3,THBS2,TIMP1,TJP2,TMOD3,TPI1,TPM3,TSC22D1,TUBA1A,TUBB2A,TUBB3,UBE3A,USO1,VASP,VCAN,VPS28,XDH,XRCC4,XYLT1,YBX1,YWHAE	487 (17)
KRAS	 	enzyme	 	0.842	 	1.26E-34	ACTR3,ACY1,ADAM9,ADAMTS1,ADAMTS5,Akr1b7,ALDOC,ANPEP,AOX1,APLP2,ARHGDIB,CAD,CASP3,CAVIN1,CBR3,CCDC80,CCL2,CCT5,CD81,CHI3L1,COL12A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL7A1,CRYAB,CRYZ,CS,CSRP1,Cxcl5,DDAH1,DDR1,DSP,EGFR,EIF2S3,EIF4E,EIF5,EXT1,EXT2,FSTL1,G6PD,GALNT1,GBA1,GDF15,Gsta3,HEPH,HNRNPDL,HTRA1,HYOU1,IGF2,ITGA3,ITGB1,ITIH5,ITM2B,JAG1,JUP,LAMA2,LAMA4,LAMC2,LAMP1,LAMP2,LGALS3,LGALS9,LIF,LMNB1,LRP8,LTF,LUM,Lyz1/Lyz2,MAN2A2,MAPK14,MCAM,MIX23,Mmp3,MMP7,MYH11,MYLK,MYOF,NBL1,NCL,NEO1,NPNT,NSF,NUTF2,NXN,OTUB1,PA2G4,PARP1,PBK,PLAT,PLCD1,PODXL,PPA1,PPP1CA,PRPF19,PSMB10,PTX3,RBBP7,RNASE4,RNH1,RPN1,RPSA,RUVBL1,S100A14,S100A6,SDCBP,SERBP1,SERPINE2,SERPINF1,SH3BGRL,SLIT3,SMS,SORT1,SPP1,ST6GAL1,STAT1,SULF1,TCP1,TGFB1,TGFB3,THBS2,TIMM9,TLN1,TPI1,TPM3,TUBB3,USP9X,VCAN,VPS35	529 (23)
YAP1	 	transcription regulator	 	0.282	 	2.17E-34	ACACA,Acat2/Acat3,ACY1,ADAM9,ADAMTS1,ADAMTS4,ALDH1A2,ALDOC,AOC3,APLP2,ARGLU1,ATP6V1D,BAX,CASP3,CCDC80,CCL2,Chil3/Chil4,CLDN4,COL11A1,COL4A1,COL5A1,COL6A1,COL7A1,Cxcl1,DDAH1,DTYMK,EGFR,EHD1,EIF4G1,FLNB,FST,FSTL1,GAS6,GDF15,GLRX,GM2A,H2AX,H6PD,HLA-A,HMGCS1,HMGN2,IFI35,IGF2,ITGB1,ITM2B,JAG1,LDHD,LGALS3,LIFR,LMNB1,LRP1,MARCKSL1,MATR3,MCM6,MMP14,MYH11,MYH9,MYL9,MYLK,NCSTN,NEDD4L,P4HA1,PARP1,PCMT1,PHGDH,PPP1R12B,PSPH,PTX3,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,RRM1,RUVBL1,SNRNP200,ST6GAL1,STAT1,TGFB1,TIMP1,TJP2,UBE3A,VCAN	419 (17)
TP53	 	transcription regulator	 	-0.136	 	7.50E-34	A2m,ABAT,ACO2,ACTB,ACTL6A,ADH5,AHCY,AK1,ALDH1A2,ALDOC,ANKFY1,ANXA2,APOE,ARHGAP1,ARPC2,ASL,ATOX1,BAX,BID,CAD,CARHSP1,CARS1,CASP3,CCDC80,CCL2,CCS,CD81,CDC34,CELSR3,Chil3/Chil4,CMPK2,CNN3,COL14A1,COL18A1,COL1A2,COL4A1,COL5A2,COL6A2,COL7A1,COPS5,COX5A,COX5B,CRYAB,CS,CSRP1,CTSH,Cxcl1,CYB5A,DCTN2,DDR1,DLD,DLST,DNAJA2,DNAJB4,DNM1L,DPYSL4,DTYMK,ECH1,EGFR,EIF5,ENO3,FABP4,FBXO22,FH,FHL2,FKBP3,FKBP4,FSTL1,FUCA1,G6PD,GART,GAS6,GATM,GC,GDA,GDF15,GLB1,GLRX,GPD1,GPD1L,H2AX,HADH,HMGB1,HMGB2,HMGCS1,HMGN2,HSD17B4,HSP90AA1,HSPH1,IDH2,IFI35,IGF2,IPO7,IRF3,JAG1,LAMC2,LAMP1,LAMP2,LASP1,LGALS3,LIF,LMAN2,LMNB1,LRP1,LTF,Lyz1/Lyz2,MAD2L1,MAPK1,MCAM,MCM2,MCM6,ME2,METRNL,MFAP2,Mmp3,MOV10,MRTO4,MVD,MVP,MYH9,MYL9,MYOF,NAP1L4,NEDD8,NEO1,NID2,NMI,NPM1,NPNT,NUP37,P4HA1,PA2G4,PARP1,PBK,PCMT1,PDHB,PDIA6,PDLIM1,PEA15,PGD,PHGDH,PLPBP,PLXNB2,PODXL,POLR2E,POSTN,PPM1A,PPM1B,PPP1CA,PPP1CC,PPP2CA,PPP4C,PPP5C,PROCR,PSMD12,PSPH,PTGDS,PURA,RAB5C,RAD23A,RBBP7,RBM3,RNASE4,RPE,RPN1,RPS16,RPS18,RPS19,RPS20,RPS25,RPS26,RPS3,RPSA,RRM1,SCPEP1,SDHA,SEC23B,SERPINC1,SERPINE2,SERPING1,SERPINH1,SH3BGRL2,SHISA5,SMARCB1,SNX5,SOD1,SPP1,ST13,STAT1,STIP1,SUCLA2,SULF1,SUMO2,TALDO1,TGFB1,TGFB3,THBS2,TIMM9,TIMP1,TLN1,TMSB4X,TNFRSF1B,TPM3,TRIAP1,TUBB3,UQCRFS1,USO1,USP7,USP9X,VCAN,YBX1,YWHAG,YWHAH	494 (22)
HNF4A	 	transcription regulator	 	0.063	 	1.60E-29	ABHD10,ACO2,ACP6,ACTR3,ACY1,ACY3,ADSS2,Akr1b7,AKR7A2,ALDH1L1,AMACR,ANG,ANPEP,ANXA5,AP1M1,AP1S2,APEH,APOE,ARL1,ARPC5,AS3MT,ATAD5,ATOX1,ATP6V1D,ATP6V1F,ATP6V1H,BOLA1,CAPN2,CBR3,CDKN2AIPNL,Ces2c,CHI3L1,CIAO1,CLYBL,CNN3,COPS8,COPZ1,CRIP1,CRKL,CRYZ,CS,CWC15,CZIB,DCPH1,DLST,DNAJA2,DNAJB4,DSC2,EFTUD2,EIF4G1,EIF5,EXOSC2,EXTL2,FBP1,FGA,FH,FKBP3,FLNB,FNTB,G6PD,GDF15,GNS,GPD1,GPX7,GRHPR,GSTK1,GYG1,HLA-A,HMGB1,HMGB2,HNRNPA0,HSD17B4,HSPH1,HTRA2,IMMT,LAMC2,LGALS3,LIN7C,LSM4,LSM5,LTF,LYPLA2,MAT2A,MCEE,MDH1,MOV10,MPRIP,MRTO4,Mt1,MTR,NAA50,NAGA,NAPA,NEDD8,NONO,NPM1,NPNT,NRDC,NSF,NUCB2,NUDT2,NUTF2,OGA,OSBP,PABPN1,PCBD1,PCMT1,PDCD10,PDIA4,PDLIM1,PDLIM7,PEPD,PITPNB,PLAA,PNKP,PODXL,PPCS,PPP1CA,PPP1R12B,PPP4R1,PPP5C,PPP6C,PRCP,PRDX5,PSMB7,PSMC4,PTGDS,PTGES3,RAB18,RAB1B,REXO2,RNASE4,RPL18,RPLP0,RPLP1,RPS18,RPS20,RPS25,RRM1,SAT2,SDF2,SEC22B,SEC23A,SEC31A,SEPHS1,SF3B5,SH3BGRL2,SHISA5,SNRPD2,SNRPD3,SNX5,SOD1,SPP1,Sprr1a,SSBP1,SSU72,ST13,STARD10,STAT1,STRAP,SUCLA2,SUGT1,SUMO2,SUPT16H,TARS1,TBC1D15,THRAP3,TIMM9,TLN1,TPP2,TPRKB,TRAPPC3,TSNAX,TTC38,TXNDC12,TXNL1,UBA5,UBE2N,UBE2V1,UCHL5,UFM1,USO1,USP9X,WDR12,XRCC4,YBX1,YKT6,ZC3H15	220 (3)
beta-estradiol	 	chemical - endogenous mammalian	Activated	2.157	 	1.29E-26	ABAT,ACTB,ACTL6A,ADAMTS1,ADAMTS4,ADAMTS5,ADK,ALDH1A2,ANP32A,ANPEP,ANXA2,AP1G1,AP1S1,AP3D1,APOE,ARSB,ATP5F1D,ATP6V1F,B4GALT1,BAX,BID,C4a/C4b,CA2,CAD,CAPN2,CASP3,CCDC80,CCL2,CDC73,CGN,CHI3L1,CLDN4,CLSTN2,CLYBL,COL11A1,COL1A2,COL5A1,COL5A2,COL6A2,COL7A1,COLEC12,COX5A,CRKL,CRYZ,CTSH,CTTN,CUZD1,Cxcl1,Cxcl5,CYB5A,DCPH1,DDAH1,DDR1,DECR1,DSP,ECH1,EGFR,EIF3A,EIF3F,ELOC,ENAH,EPB41L3,ERH,EXT2,FABP4,FBLN1,FHL2,FLNB,FST,FSTL1,FUCA1,G6PD,GALNT1,GARS1,GART,Gbp2,GDF15,GLB1,GM2A,GMFB,GNB1,GNG12,GNS,GYG1,H6PD,HADH,HDGF,HLA-A,HMGB2,HMGCS1,HNRNPK,HSD17B4,HSPH1,HTRA1,IARS1,IDH2,IFI35,IGF2,IMPDH2,INSL3,IPO4,IQGAP1,ITGA3,ITGB1,JAG1,LAMA2,LAMP2,LGALS3,LIF,LIFR,LRP1,LRP8,LTF,LUM,Lyz1/Lyz2,MAD2L1,MAPK1,MAPK14,MBTPS1,MCAM,MCM2,MCM6,MFAP2,MGARP,MMP14,MMP7,MYH9,MYL12B,MYLK,MYOF,NBL1,NEDD4L,NME3,NPM1,NUCB2,NUDT9,NUP37,NXN,OGN,OLFML3,OSTF1,P4HA1,PA2G4,PAFAH1B1,PALM2AKAP2,PARP1,PBK,PCBD1,PDAP1,PDIA4,PGK1,PLAA,PLAT,PMPCB,PODXL,PPP1CB,PPP2CA,PPP2CB,PPP5C,PRDX5,PROCR,PRSS23,PRSS35,PSMC3,PTBP2,PTGDS,PTMA,PTX3,RAB5C,RACK1,RARS1,RBBP7,RBP4,RCN1,RCN2,RPL14,RPL8,RPN1,RPS11,RPS13,RPS14,RPS3,RPS8,RPS9,RPSA,RRBP1,S100A13,S100A6,SDHA,SET,SLK,SMS,SOD1,SORD,Sprr1a,ST6GAL1,STAT1,STC2,STIP1,SUCLA2,TARDBP,TARS1,TGFB1,TGFB3,THBS2,TIMM8B,TIMP1,TJP2,TMSB4X,TNFRSF1B,TPI1,TPM3,TPR,TRNT1,TSC22D1,UBA5,VCAN,WFDC2,YWHAE,YWHAH	504 (23)
sirolimus	 	chemical drug	Inhibited	-3.006	 	7.47E-24	ACACA,Acat2/Acat3,ACTB,ADSS2,ANXA5,ARHGDIB,ATP6V1B2,ATP6V1D,ATP6V1G1,BAX,BID,CASP3,CCL2,COL12A1,COL18A1,COL1A2,COL4A1,COL5A1,COL7A1,DDR1,DNM1L,DPP7,EGFR,Eif1a,EIF5,FIS1,FUS,G6PD,GABARAPL1,GPD1,H2AX,HMGB1,HMGCS1,HNRNPU,HSP90AA1,IGF2,LAMC2,LGALS3,LRP1,MAPK1,MCM2,MFAP2,MMP14,MMP7,Mt1,MVD,MYH11,NCL,NEDD8,NEU1,NPM1,OGA,P4HA1,PGK1,PIK3IP1,POSTN,PRDX5,PSMA6,PSMB4,PSMB7,PTMA,PTX3,RACK1,RPL18,RPL23A,RPL27,RPL8,RPLP0,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS26,RPS3,RPS3A,RPS8,RPS9,RPSA,SCPEP1,SNRPD2,SNRPF,SOD1,SORD,TARS1,TGFB1,TIMP1,TPI1,TPM3,TUBB2A,YWHAH,ZNF207	500 (22)
MYCN	 	transcription regulator	 	1.126	 	5.75E-23	ACTB,ADAMTS1,ADAMTS5,BAX,BID,CAD,COL18A1,COL4A1,COL5A2,DPYSL3,EGFR,HLA-A,ITGA3,ITGB1,LIF,MAT2A,MRC2,MSRB3,MYH9,NCL,NCSTN,NPM1,P3H1,PA2G4,PDIA4,PDLIM1,PHGDH,PSMB7,PTMA,RBBP7,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS13,RPS16,RPS17,RPS19,RPS2,RPS20,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,SLIT3,SNRPD3,SORD,SULF1,TPI1,UBE2V2,WDR5	485 (22)
