© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Processing of Capped Intron-Containing Pre-mRNA	5.55E00	4.14E-02	NaN	CPSF6,DHX15,NUP58,PNN,PPIL4,PTBP1,RBM5,RBMX,SRSF9,THOC1,THOC2,U2SURP	
Ephrin A Signaling	4.85E00	5.67E-02	NaN	ARF6,EFNA4,EFNA5,EGF,MAP2K2,MAPK3,NCK1,PTPN11	
Selenoamino acid metabolism	4.78E00	4.76E-02	NaN	AIMP2,EEF1E1,MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Coronavirus Replication Pathway	4.72E00	4.69E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24,TUBA1C,TUBB6	
Lysosome Positioning Signaling Pathway	4.54E00	5.13E-02	NaN	ARL8B,BORCS7,DCTN1,DNAH3,EGF,FYCO1,MAPK3,PPP3CA	
Eukaryotic Translation Termination	4.36E00	4.85E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24,TRMT112	
Glucocorticoid Receptor Signaling	4.17E00	2.5E-02	NaN	ANXA1,ATP5F1C,Cxcl2,DNAH3,EGF,GTF2B,HLA-A,KRT8,MAP2K2,MAPK3,NDUFAB1,NDUFS4,PCK2,PPP3CA,SMARCE1	
EIF2 Signaling	4.07E00	3.47E-02	NaN	MAP2K2,MAPK3,MRPS27,PTBP1,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
SRP-dependent cotranslational protein targeting to membrane	4.01E00	4.32E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24,SSR4	
COPI-mediated anterograde transport	3.85E00	5.88E-02	NaN	ARF5,DCTN1,GOLGA2,GOSR1,TUBA1C,TUBB6	
GAIT Translation Signaling Pathway	3.55E00	3.3E-02	NaN	AIMP2,EEF1E1,MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Eukaryotic Translation Elongation	3.53E00	4.24E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Neuregulin Signaling	3.51E00	5.08E-02	NaN	CDKN1B,EGF,EREG,MAP2K2,MAPK3,PTPN11	
Antiproliferative Role of Somatostatin Receptor 2	3.49E00	6.49E-02	NaN	CDKN1B,MAP2K2,MAPK3,NT5C,PTPN11	
Signaling by ROBO receptors	3.36E00	3.1E-02	NaN	CLASP1,MRPS27,NCK1,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
HER-2 Signaling in Breast Cancer	3.35E00	3.45E-02	NaN	ARF5,ARF6,CASP6,CDKN1B,EGF,MAP2K2,MAPK3,NUP58	
Nonsense-Mediated Decay (NMD)	3.22E00	4.48E-02	NaN	RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Response of EIF2AK4 (GCN2) to amino acid deficiency	3.22E00	4.48E-02	NaN	RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Ferroptosis Signaling Pathway	3.17E00	4.38E-02	NaN	ARF5,ARF6,GLS2,MAP2K2,MAPK3,SQSTM1	
RAF-independent MAPK1/3 activation	3.15E00	1.3E-01	NaN	MAP2K2,MAPK3,PTPN11	
ERBB Signaling	3.11E00	5.38E-02	NaN	EGF,EREG,MAP2K2,MAPK3,NCK1	
Axonal Guidance Signaling	3.09E00	2.29E-02	NaN	CHMP1A,EFNA4,EFNA5,EGF,MAP2K2,MAPK3,NCK1,PFN3,PPP3CA,PTPN11,TUBA1C,TUBB6	
Major pathway of rRNA processing in the nucleolus and cytosol	3.07E00	3.12E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPP30,RPS15,RPS24	
Eukaryotic Translation Initiation	3E00	3.47E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Ephrin Receptor Signaling	3E00	3.47E-02	NaN	EFNA4,EFNA5,EGF,MAP2K2,MAPK3,NCK1,PTPN11	
Exosome Signaling Pathway	2.95E00	3.4E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Autophagy	2.79E00	3.18E-02	NaN	ARL8B,CDKN1B,EGF,MAP2K2,MAPK3,PPP3CA,SQSTM1	
GM-CSF Signaling	2.68E00	5.71E-02	NaN	MAP2K2,MAPK3,PPP3CA,PTPN11	
Sirtuin Signaling Pathway	2.67E00	2.7E-02	NaN	ATP5F1C,MAPK3,NDUFAB1,NDUFS4,PCK2,PDHA1,POLR1C,TUBA1C	
Netrin Signaling	2.62E00	3.43E-02	NaN	GOSR1,MAP2K2,MAPK3,NCK1,PPP3CA,RYR2	
Signaling by FGFR2	2.61E00	5.48E-02	NaN	FGFBP1,MAPK3,PTBP1,PTPN11	
ISG15 antiviral mechanism	2.59E00	5.41E-02	NaN	KPNA2,MAPK3,NUP58,PIN1	
Glioblastoma Multiforme Signaling	2.58E00	3.37E-02	NaN	CDKN1B,EGF,MAP2K2,MAPK3,NF1,NF2	
Extra-nuclear estrogen signaling	2.57E00	5.33E-02	NaN	CDKN1B,EGF,EREG,MAPK3	
MyD88-independent TLR4 cascade	2.51E00	7.89E-02	NaN	FADD,PTPN11,UBE2D3	
Sertoli Cell-Sertoli Cell Junction Signaling	2.51E00	2.83E-02	NaN	AFDN,CDH3,F11R,MAP2K2,MAPK3,TUBA1C,TUBB6	
Activation of NMDA receptors and postsynaptic events	2.37E00	4.71E-02	NaN	KPNA2,MAPK3,TUBA1C,TUBB6	
14-3-3-mediated Signaling	2.35E00	3.6E-02	NaN	CDKN1B,MAP2K2,MAPK3,TUBA1C,TUBB6	
Netrin-1 signaling	2.33E00	6.82E-02	NaN	NCK1,PTPN11,RGMA	
RHO GTPases Activate WASPs and WAVEs	2.33E00	6.82E-02	NaN	MAPK3,NCK1,WASF2	
BER (Base Excision Repair) Pathway	2.33E00	6.82E-02	NaN	MAP2K2,MAPK3,NF1	
Natural Killer Cell Signaling	2.32E00	2.97E-02	NaN	COL2A1,HLA-A,MAP2K2,MAPK3,NCK1,PTPN11	
Respiratory electron transport	2.3E00	4.49E-02	NaN	ETFA,ETFB,NDUFAB1,NDUFS4	
NAP1L1 Transcription Regulation Signaling Pathway	2.3E00	4.49E-02	NaN	MAPK3,PDHA1,TUBA1C,TUBB6	
Regulation of Cellular Mechanics by Calpain Protease	2.3E00	4.49E-02	NaN	CAST,CDKN1B,EGF,MAPK3	
Gap Junction Signaling	2.29E00	2.34E-02	NaN	CDKN1B,EGF,MAP2K2,MAPK3,NT5C,PPP3CA,TUBA1C,TUBB6	
Neutrophil Extracellular Trap Signaling Pathway	2.29E00	2.16E-02	NaN	ATP5F1C,CASP6,COL2A1,GSDMD,MAP2K2,MAPK3,NDUFAB1,NDUFS4,PPP3CA	
PIP3 activates AKT signaling	2.24E00	3.38E-02	NaN	CDKN1B,EGF,EREG,MAPK3,PTPN11	
Integrin to Cytoskeleton Signaling Pathway	2.22E00	2.83E-02	NaN	ARF5,ARF6,MAP2K2,MAPK3,NCK1,PFN3	
RNA Polymerase II Transcription	2.21E00	3.33E-02	NaN	CPSF6,GTF2B,SRSF9,THOC1,THOC2	
Signaling by ERBB2	2.17E00	6E-02	NaN	EGF,EREG,STUB1	
Huntington's Disease Signaling	2.16E00	2.44E-02	NaN	ATP5F1C,CASP6,DCTN1,EGF,GOSR1,MAPK3,PENK	
Acyl Carrier Protein Metabolism	2.11E00	1E00	NaN	AASDHPPT	
Salvage Pathways of Pyrimidine Ribonucleotides	2.11E00	3.96E-02	NaN	ADPGK,MAP2K2,MAPK3,UPP2	
Signaling by EGFR	2.1E00	5.66E-02	NaN	EGF,EREG,PTPN11	
Oxidative Phosphorylation	2.07E00	3.85E-02	NaN	ATP5F1C,ATP5ME,NDUFAB1,NDUFS4	
Signaling by PTK6	2.06E00	5.45E-02	NaN	CDKN1B,EGF,EREG	
CNTF Signaling	2.04E00	5.36E-02	NaN	MAP2K2,MAPK3,PTPN11	
Senescence Pathway	2.03E00	2.31E-02	NaN	CDKN1B,MAP2K2,MAPK3,NF1,PDHA1,PPP3CA,SQSTM1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	2.02E00	5.26E-02	NaN	DCTN1,TUBA1C,TUBB6	
TNF signaling	2.02E00	5.26E-02	NaN	FADD,STUB1,UBE2D3	
Folate Signaling Pathway	2.02E00	5.26E-02	NaN	CDKN1B,MAPK3,MTHFD2	
Telomerase Signaling	2.01E00	3.7E-02	NaN	DKC1,EGF,MAP2K2,MAPK3	
Ribosomal Quality Control Signaling Pathway	2E00	2.27E-02	NaN	MRPS27,RPL26,RPL28,RPL3,RPL6,RPS15,RPS24	
Signaling by PDGF	1.99E00	5.17E-02	NaN	COL2A1,NCK1,PTPN11	
Role of IL-17A in Arthritis	1.99E00	5.17E-02	NaN	Cxcl2,MAP2K2,MAPK3	
Formation of ATP by chemiosmotic coupling	1.99E00	1E-01	NaN	ATP5F1C,ATP5ME	
Mitotic Metaphase and Anaphase	1.99E00	2.53E-02	NaN	BANF1,CLASP1,NUP58,SMC1A,TUBA1C,TUBB6	
Germ Cell-Sertoli Cell Junction Signaling	1.98E00	2.92E-02	NaN	AFDN,MAP2K2,MAPK3,TUBA1C,TUBB6	
Polyamine Regulation in Colon Cancer	1.97E00	5.08E-02	NaN	DHPS,MAP2K2,MAPK3	
E3 ubiquitin ligases ubiquitinate target proteins	1.95E00	5E-02	NaN	HLA-A,UBE2B,UBE2D3	
Phagosome Maturation	1.95E00	2.87E-02	NaN	ATP6V1E1,GOSR1,HLA-A,TUBA1C,TUBB6	
Transcriptional and post-translational regulation of MITF-M expression and activity	1.92E00	4.84E-02	NaN	AIMP2,EEF1E1,MAPK3	
IL-2 Signaling	1.9E00	4.76E-02	NaN	MAP2K2,MAPK3,PTPN11	
Thrombopoietin Signaling	1.88E00	4.69E-02	NaN	MAP2K2,MAPK3,PTPN11	
ERB2-ERBB3 Signaling	1.88E00	4.69E-02	NaN	CDKN1B,MAP2K2,MAPK3	
RHO GTPases Activate NADPH Oxidases	1.84E00	8.33E-02	NaN	MAPK3,PIN1	
Tumoricidal Function of Hepatic Natural Killer Cells	1.84E00	8.33E-02	NaN	CASP6,FADD	
Collagen biosynthesis and modifying enzymes	1.83E00	4.48E-02	NaN	COL2A1,P3H3,P4HA2	
Pyridoxal 5'-phosphate Salvage Pathway	1.83E00	4.48E-02	NaN	ADPGK,MAP2K2,MAPK3	
L1CAM interactions	1.82E00	3.25E-02	NaN	MAP2K2,MAPK3,TUBA1C,TUBB6	
Glutamine Degradation I	1.82E00	5E-01	NaN	GLS2	
Complex I biogenesis	1.81E00	4.41E-02	NaN	NDUFAB1,NDUFAF2,NDUFS4	
IL-17A Signaling in Airway Cells	1.81E00	4.41E-02	NaN	Cxcl2,MAP2K2,MAPK3	
Pancreatic Adenocarcinoma Signaling	1.8E00	3.2E-02	NaN	CDKN1B,EGF,MAP2K2,MAPK3	
Insulin Receptor Signaling	1.76E00	3.12E-02	NaN	MAP2K2,MAPK3,NCK1,PTPN11	
Remodeling of Epithelial Adherens Junctions	1.76E00	4.23E-02	NaN	ARF6,TUBA1C,TUBB6	
Mitochondrial Dysfunction	1.76E00	2.03E-02	NaN	ATP5F1C,ATP5ME,GPX3,NDUFAB1,NDUFS4,PDHA1,PPP3CA	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	1.74E00	4.17E-02	NaN	RAB10,TUBA1C,TUBB6	
Neuron Navigator Signaling Pathway	1.74E00	4.17E-02	NaN	EGF,TUBA1C,TUBB6	
Protein Ubiquitination Pathway	1.69E00	2.17E-02	NaN	DNAJC9,HLA-A,STUB1,UBE2B,UBE2D3,UBE2G2	
GDNF Family Ligand-Receptor Interactions	1.68E00	3.95E-02	NaN	MAP2K2,MAPK3,NCK1	
Intra-Golgi and retrograde Golgi-to-ER traffic	1.68E00	2.45E-02	NaN	ARF5,DCTN1,GOSR1,TUBA1C,TUBB6	
Cilia Biogenesis Signaling Pathway	1.68E00	2.45E-02	NaN	DCTN1,DNAH3,EGF,TUBA1C,TUBB6	
Mitotic Prometaphase	1.67E00	2.44E-02	NaN	CLASP1,DCTN1,SMC1A,TUBA1C,TUBB6	
Protein ubiquitination	1.65E00	6.67E-02	NaN	UBE2B,UBE2G2	
Signaling by CSF3 (G-CSF)	1.65E00	6.67E-02	NaN	PTPN11,UBE2D3	
Renal Cell Carcinoma Signaling	1.65E00	3.85E-02	NaN	MAP2K2,MAPK3,PTPN11	
Neurotrophin/TRK Signaling	1.65E00	3.85E-02	NaN	MAP2K2,MAPK3,PTPN11	
Hypoxia Signaling in the Cardiovascular System	1.65E00	3.85E-02	NaN	UBE2B,UBE2D3,UBE2G2	
Reelin Signaling in Neurons	1.65E00	2.88E-02	NaN	AFDN,DNAH3,MAP2K2,MAPK3	
Hypusine Biosynthesis	1.64E00	3.33E-01	NaN	DHPS	
4-hydroxyproline Degradation I	1.64E00	3.33E-01	NaN	HOGA1	
Role of Tissue Factor in Cancer	1.64E00	2.39E-02	NaN	EGF,MAP2K2,MAPK3,PTPN11,TFPI	
Signaling by MET	1.64E00	3.8E-02	NaN	ARF6,COL2A1,PTPN11	
HIF1α Signaling	1.63E00	2.38E-02	NaN	EGF,MAP2K2,MAPK3,PPP3CA,STUB1	
RHO GTPase cycle	1.63E00	1.78E-02	NaN	ALS2,BCAP31,CDC42BPB,NCK1,RBMX,UBXN11,VAPB,WASF2	
Mitotic Prophase	1.63E00	2.84E-02	NaN	BANF1,GOLGA2,MAPK3,NUP58	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	1.61E00	3.7E-02	NaN	FADD,PIN1,UBE2D3	
IL-3 Signaling	1.61E00	3.7E-02	NaN	MAP2K2,MAPK3,PPP3CA	
RIPK1-mediated regulated necrosis	1.6E00	6.25E-02	NaN	FADD,STUB1	
RHO GTPases activate IQGAPs	1.6E00	6.25E-02	NaN	TUBA1C,TUBB6	
Metabolism of water-soluble vitamins and cofactors	1.59E00	3.66E-02	NaN	AASDHPPT,MOCS2,PPCDC	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.59E00	3.66E-02	NaN	MAP2K2,MAPK3,PTPN11	
Opioid Signaling Pathway	1.58E00	2.05E-02	NaN	CDKN1B,MAP2K2,MAPK3,PENK,PPP3CA,RYR2	
JAK/STAT Signaling	1.58E00	3.61E-02	NaN	MAP2K2,MAPK3,PTPN11	
Toll Like Receptor 3 (TLR3) Cascade	1.58E00	6.06E-02	NaN	FADD,UBE2D3	
Cristae formation	1.58E00	6.06E-02	NaN	ATP5F1C,ATP5ME	
Regulation of eIF4 and p70S6K Signaling	1.57E00	2.29E-02	NaN	MAP2K2,MAPK3,MRPS27,RPS15,RPS24	
Endocannabinoid Cancer Inhibition Pathway	1.57E00	2.72E-02	NaN	CASP6,CDKN1B,MAP2K2,MAPK3	
Leptin Signaling in Obesity	1.57E00	3.57E-02	NaN	MAP2K2,MAPK3,PTPN11	
4-1BB Signaling in T Lymphocytes	1.55E00	5.88E-02	NaN	MAP2K2,MAPK3	
Glucose metabolism	1.54E00	3.49E-02	NaN	ADPGK,NUP58,PCK2	
Nuclear Cytoskeleton Signaling Pathway	1.54E00	2.25E-02	NaN	CDH3,DCTN1,NUP58,TUBA1C,TUBB6	
NAD Signaling Pathway	1.53E00	2.65E-02	NaN	EGF,ETFA,NAPRT,RYR2	
Nucleotide catabolism	1.53E00	5.71E-02	NaN	NT5C,UPP2	
Coenzyme A Biosynthesis	1.52E00	2.5E-01	NaN	PPCDC	
Molybdenum Cofactor Biosynthesis	1.52E00	2.5E-01	NaN	MOCS2	
RAB GEFs exchange GTP for GDP on RABs	1.49E00	3.33E-02	NaN	ALS2,RAB10,TRAPPC10	
Cell junction organization	1.47E00	3.26E-02	NaN	AFDN,CDH3,F11R	
PKR-mediated signaling	1.47E00	3.26E-02	NaN	NCK1,TUBA1C,TUBB6	
TWEAK Signaling	1.46E00	5.26E-02	NaN	CASP6,FADD	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.46E00	3.23E-02	NaN	ARF6,MAPK3,NCK1	
RANK Signaling in Osteoclasts	1.46E00	3.23E-02	NaN	MAP2K2,MAPK3,PPP3CA	
Ovarian Folliculogenesis Signaling Pathway	1.45E00	2.13E-02	NaN	EGF,FADD,GSDMD,MAP2K2,MAPK3	
FLT3 Signaling	1.44E00	5.13E-02	NaN	CDKN1B,PTPN11	
Synaptogenesis Signaling Pathway	1.44E00	1.89E-02	NaN	AFDN,CDH3,EFNA4,EFNA5,GOSR1,MAPK3	
Immunogenic Cell Death Signaling Pathway	1.43E00	3.16E-02	NaN	ANXA1,BCAP31,FADD	
FasL/ CD95L signaling	1.42E00	2E-01	NaN	FADD	
Taurine Biosynthesis	1.42E00	2E-01	NaN	CSAD	
