© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Response of EIF2AK4 (GCN2) to amino acid deficiency	6.15E00	8.21E-02	NaN	ASNS,EIF2B2,GCN1,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Superpathway of Methionine Degradation	5.38E00	1.67E-01	NaN	EEF1AKMT2,MAT2B,MMUT,PCCB,PRMT5,SUOX	
Mitochondrial protein degradation	4.6E00	8.16E-02	NaN	ACAT1,AFG3L2,LONP1,MRPL12,NDUFA2,NDUFV3,PCCB,SUCLG2	
Nonsense-Mediated Decay (NMD)	4.43E00	6.72E-02	NaN	NCBP2,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Exosome Signaling Pathway	4.36E00	5.34E-02	NaN	DIS3,EXOSC7,NCBP2,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Tight Junction Signaling	4.14E00	5.52E-02	NaN	AKT1,CTNNB1,JAM3,MYH10,MYH14,MYO10,SMURF1,STX4,TJP1,TNFRSF1A	
Protein Ubiquitination Pathway	3.83E00	4.33E-02	NaN	DNAJC1,DNAJC2,DNAJC3,DNAJC7,HLA-A,SMURF1,UBE2D2,UBE2L6,UBE2S,UBE2Z,USP24,USP4	
Eukaryotic Translation Initiation	3.74E00	4.95E-02	NaN	EIF2B2,EIF5B,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
EIF2 Signaling	3.67E00	4.17E-02	NaN	AKT1,EIF2B2,EIF5B,MAP2K1,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Cellular response to heat stress	3.65E00	6.93E-02	NaN	BAG3,CCAR2,DNAJC2,DNAJC7,MLST8,NUP93,NUP98	
ISG15 antiviral mechanism	3.57E00	8.11E-02	NaN	EIF4E2,ISG15,NUP93,NUP98,RIGI,UBE2L6	
Extracellular matrix organization	3.5E00	6.54E-02	NaN	ADAM12,ADAM19,COL6A5,ITGAV,PDGFA,PTPRS,VTN	
Nuclear Cytoskeleton Signaling Pathway	3.42E00	4.5E-02	NaN	CDH17,CTNNB1,DCTN6,DYNC1I2,ITGAV,KIF18B,KIF2B,NUP93,NUP98,TP53BP1	
Selenoamino acid metabolism	3.3E00	4.76E-02	NaN	EPRS1,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
GAIT Translation Signaling Pathway	3.29E00	4.03E-02	NaN	EIF2B2,EPRS1,MLST8,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Coronavirus Replication Pathway	3.25E00	4.69E-02	NaN	BAG3,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	3.15E00	4.17E-02	NaN	AKT1,CTNNB1,CTSF,CTSK,CTSS,Il36a,LRP6,MMP13,SFRP2,SMURF1	
Class I MHC mediated antigen processing and presentation	3.09E00	3.4E-02	NaN	CTSS,GLMN,HLA-A,HUWE1,ITGAV,RNF7,SMURF1,STX4,UBE2D2,UBE2L6,UBE2S,UBE2Z,UBR4	
Methylmalonyl Pathway	3.07E00	5E-01	NaN	MMUT,PCCB	
Eukaryotic Translation Elongation	3.04E00	4.85E-02	NaN	RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Eukaryotic Translation Termination	3.04E00	4.85E-02	NaN	RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
MHC class II antigen presentation	3.03E00	5.47E-02	NaN	AP2A1,CTSF,CTSK,CTSS,DCTN6,DYNC1I2,KIF2B	
Endocannabinoid Developing Neuron Pathway	3.03E00	5.47E-02	NaN	AKT1,CTNNB1,GNG5,MAP2K1,MAPK15,MAPK9,MLST8	
Clathrin-mediated endocytosis	3.01E00	5.43E-02	NaN	AP2A1,ARRB1,AVP,EPS15,RAB5A,SNX18,WASL	
Metabolism of nitric oxide: NOS3 activation and regulation	2.98E00	1.76E-01	NaN	AKT1,CYB5B,WASL	
RAN Signaling	2.98E00	1.76E-01	NaN	RAN,RANGAP1,RCC1	
Germ Cell-Sertoli Cell Junction Signaling	2.94E00	4.68E-02	NaN	AKT1,CLINT1,CTNNB1,MAP2K1,MAPK9,TJP1,TNFRSF1A,WASL	
Major pathway of rRNA processing in the nucleolus and cytosol	2.94E00	3.91E-02	NaN	DIS3,EXOSC7,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
2-oxobutanoate Degradation I	2.85E00	4E-01	NaN	MMUT,PCCB	
Modulation of host responses by IFN-stimulated genes	2.84E00	1.58E-01	NaN	ISG15,RIGI,UBE2L6	
Macroautophagy	2.83E00	7.25E-02	NaN	LAMTOR4,MAP1LC3A,MLST8,ULK1,WIPI2	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	2.79E00	3.49E-02	NaN	ADAM12,ADAM19,AKT1,COL6A5,CTNNB1,CTSK,MAP2K1,MAPK9,MMP13,SFRP2,TNFRSF1A	
Signaling by Hippo	2.77E00	1.5E-01	NaN	MOB1A,MOB1B,TJP1	
Maturation of TCA enzymes and regulation of TCA cycle	2.77E00	1.5E-01	NaN	ACAT1,ISCU,SDHAF2	
Methionine Degradation I (to Homocysteine)	2.77E00	1.5E-01	NaN	EEF1AKMT2,MAT2B,PRMT5	
Colorectal Cancer Metastasis Signaling	2.76E00	3.69E-02	NaN	AKT1,APPL1,ARRB1,CTNNB1,GNG5,LRP6,MAP2K1,MAPK9,MMP13,TNFRSF1A	
Stress Granule Signaling Pathway	2.74E00	3.68E-02	NaN	AKT1,CTNNB1,EIF2B2,EIF4EBP2,MAPK9,MLST8,RIGI,RPS23,TNFRSF1A,ULK1	
SRP-dependent cotranslational protein targeting to membrane	2.73E00	4.32E-02	NaN	RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Signaling by VEGF	2.72E00	5.61E-02	NaN	AKT1,CTNNB1,ITGAV,MLST8,NCKAP1,NRP2	
Axonal Guidance Signaling	2.72E00	2.86E-02	NaN	ADAM12,ADAM19,ADAMTS7,AFG3L2,AKT1,BRCC3,GNG5,ITGAV,MAP2K1,MME,MMP13,NRP2,PDGFA,SEMA3A,WASL	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.72E00	3.93E-02	NaN	AKT1,CTNNB1,CTSK,LRP6,MAPK9,MMP13,SFRP2,SMURF1,TNFRSF1A	
ISGylation Signaling Pathway	2.68E00	5.5E-02	NaN	CHMP5,EIF4E2,ISG15,MAPK9,RIGI,UBE2L6	
GDP-mannose Biosynthesis	2.68E00	3.33E-01	NaN	GMPPB,PMM2	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	2.63E00	3.81E-02	NaN	AKT1,CGA,CTNNB1,JAM3,MAP2K1,MAPK9,TJP1,TNFRSF1A,WASL	
Mitotic Metaphase and Anaphase	2.62E00	3.8E-02	NaN	DYNC1I2,KIF2B,NUP93,NUP98,RAN,RANGAP1,RCC1,SMC3,UBE2S	
Hypoxia Signaling in the Cardiovascular System	2.6E00	6.41E-02	NaN	AKT1,UBE2D2,UBE2L6,UBE2S,UBE2Z	
Cysteine Biosynthesis III (mammalia)	2.59E00	1.3E-01	NaN	EEF1AKMT2,MAT2B,PRMT5	
Processing of Capped Intron-Containing Pre-mRNA	2.54E00	3.45E-02	NaN	DDX5,GTF2F2,NCBP2,NUP93,NUP98,PRPF8,RBM25,SAP18,SF3B6,SRSF10	
Degradation of the extracellular matrix	2.53E00	6.17E-02	NaN	BSG,CTSK,CTSS,MMP13,PLG	
Cell Cycle Checkpoints	2.51E00	3.41E-02	NaN	BRCC3,DYNC1I2,KIF2B,MCM3,MDC1,NUP98,RAD1,RANGAP1,TP53BP1,UBE2S	
Sertoli Cell-Sertoli Cell Junction Signaling	2.5E00	3.64E-02	NaN	AKT1,CDH17,CLINT1,CTNNB1,JAM3,MAP2K1,MAPK9,TJP1,TNFRSF1A	
Apoptotic execution phase	2.45E00	7.69E-02	NaN	ADD1,CTNNB1,DBNL,TJP1	
Integrin cell surface interactions	2.44E00	5.88E-02	NaN	BSG,COL6A5,ITGAV,JAM3,VTN	
Role of Tissue Factor in Cancer	2.4E00	3.83E-02	NaN	AKT1,ARRB1,ITGAV,MAP2K1,MAPK15,MAPK9,MMP13,TNFRSF1A	
ATF4 activates genes in response to endoplasmic reticulum stress	2.39E00	1.11E-01	NaN	ASNS,DIS3,EXOSC7	
Ribosomal Quality Control Signaling Pathway	2.36E00	3.25E-02	NaN	DIS3,EXOSC7,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
MTOR signalling	2.34E00	1.07E-01	NaN	AKT1,LAMTOR4,MLST8	
RHO GTPases activate PKNs	2.34E00	1.07E-01	NaN	MYH10,MYH14,PPP1R14A	
TNF signaling	2.31E00	7.02E-02	NaN	TNFRSF1A,UBE2D2,ULK1,USP4	
Autophagy	2.27E00	3.64E-02	NaN	AKT1,MAP1LC3A,MAP2K1,MAPK9,MLST8,TNFRSF1A,ULK1,WIPI2	
Protein ubiquitination	2.26E00	1E-01	NaN	UBE2D2,UBE2S,UBE2Z	
Regulation of CDH11 Expression and Function	2.26E00	1E-01	NaN	ADAM19,ANGPTL4,CTNNB1	
Polyamine Regulation in Colon Cancer	2.25E00	6.78E-02	NaN	AKT1,CTNNB1,MAP2K1,MLST8	
NRF2-mediated Oxidative Stress Response	2.25E00	3.33E-02	NaN	AKT1,DNAJC1,DNAJC3,DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1,MAP2K1,MAPK9	
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.24E00	4.48E-02	NaN	DPP4,HLA-A,LONP1,MASP1,MME,PLG	
Metabolism of non-coding RNA	2.23E00	6.67E-02	NaN	NCBP2,NUP93,NUP98,PRMT5	
Cerebral Malformation Signaling Pathway	2.19E00	4.38E-02	NaN	AKT1,CTNNB1,HEG1,MAPK9,SMURF1,ULK1	
Apelin Adipocyte Signaling Pathway	2.19E00	5.15E-02	NaN	Gstp1 (includes others),GSTT1,GSTZ1,MAPK15,MAPK9	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.19E00	3.07E-02	NaN	AKT1,COL6A5,CTNNB1,EIF4EBP2,ITGAV,MAP2K1,MAPK9,MMP13,PDGFA,PLG	
Activation of Matrix Metalloproteinases	2.14E00	9.09E-02	NaN	CTSK,MMP13,PLG	
Glutathione Redox Reactions I	2.14E00	9.09E-02	NaN	Gstp1 (includes others),GSTT1,GSTZ1	
MicroRNA Biogenesis Signaling Pathway	2.11E00	3.74E-02	NaN	AKT1,DDX5,DIS3,EXOSC7,NUP93,NUP98,RAN	
Ovarian Folliculogenesis Signaling Pathway	2.1E00	3.4E-02	NaN	AKT1,CGA,CTNNB1,LRP6,MAP2K1,MAPK9,MLST8,PDGFA	
Oxytocin Signaling Pathway	2.08E00	3.14E-02	NaN	AKT1,ARRB1,GNG5,MAPK15,MAPK9,MYH10,MYH14,MYO10,PPP1R14A	
Nuclear RNA decay	2.07E00	8.57E-02	NaN	DIS3,EXOSC7,NCBP2	
Peptide hormone biosynthesis	2.06E00	1.67E-01	NaN	CGA,TSHB	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.05E00	3.65E-02	NaN	COL6A5,MMP13,MYH10,MYH14,MYO10,PDGFA,TNFRSF1A	
Signaling by ROBO receptors	2.05E00	3.1E-02	NaN	NCBP2,RPL17,RPL18A,RPL19,RPL23,RPL31,RPL38,RPL9,RPS23	
Cargo recognition for clathrin-mediated endocytosis	2.05E00	4.76E-02	NaN	AP2A1,ARRB1,AVP,EPS15,UBQLN1	
Semaphorin Neuronal Repulsive Signaling Pathway	2.02E00	4.03E-02	NaN	AKT1,ITGAV,MAP2K1,NRP2,SEMA3A,SMC3	
Actin Cytoskeleton Signaling	2.01E00	3.28E-02	NaN	ITGAV,MAP2K1,MYH10,MYH14,MYO10,NCKAP1,PDGFA,WASL	
Mitochondrial Fatty Acid Beta-Oxidation	2E00	8.11E-02	NaN	ACAD10,MMUT,PCCB	
