© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ABC-family proteins mediated transport	-0E00		8.47E-03	EIF2B2	
Acetylcholine Receptor Signaling Pathway	-0E00		9.76E-03	ADAM19,AKT1	
Activation of anterior HOX genes in hindbrain during early embryogenesis	-0E00		8.26E-03	H2AJ	
Adrenergic Receptor Signaling Pathway (Enhanced)	-0E00		4.88E-03	Il36a	
Allograft Rejection Signaling	-0E00		4.05E-03	H2-Q8,HLA-A	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		1.06E-03	HLA-A	
Amyloid fiber formation	-0E00		8.06E-03	UBE2L6	
Autoimmune Thyroid Disease Signaling	-0E00		4.30E-03	CGA,HLA-A	
B Cell Development	-0E00		2.04E-03	HLA-A	
B Cell Receptor Signaling	-0E00		4.69E-03	AKT1,MAP2K1,MAPK9	
B-WICH complex positively regulates rRNA expression	-0E00		1.12E-02	H2AJ	
BBSome Signaling Pathway	-0E00		4.07E-03	CELSR2,RAB5A	
Bone Mineralization Signaling Pathway	-0E00		6.62E-03	CTNNB1	
Breast Cancer Regulation by Stathmin1	-0E00		8.28E-03	CELSR2,GNG5,MAP2K1,PPP1R11,PPP1R14A	
C-type lectin receptors (CLRs)	-0E00		6.85E-03	UBE2D2	
CCR5 Signaling in Macrophages	-0E00		3.98E-03	GNG5,MAPK9	
CD28 Signaling in T Helper Cells	-0E00		7.65E-03	AKT1,HLA-A,MAP2K1,MAPK9	
CDC42 Signaling	-0E00		8.59E-03	H2-Q8,HLA-A,ITGAV,MAPK9,WASL	
CREB Signaling in Neurons	-0E00		8.05E-03	AKT1,CELSR2,GNG5,GRIK4,MAP2K1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		8.18E-03	AKT1,AP2A1,H2-Q8,HLA-A,MAPK9	
Calcium-induced T Lymphocyte Apoptosis	-0E00		2.15E-03	HLA-A	
Cardiac Valve Formation Signaling Pathway	-0E00		5.41E-03	CTNNB1	
Cellular Effects of Sildenafil (Viagra)	-0E00		1.17E-02	AKT1,CELSR2,GNG5,MAPK15,MAPK9,MYH10,MYH14,MYO10	
Centrosomal KIAA0586 Signaling Pathway	-0E00		7.46E-03	SMC3	
