UniProt Accession Number,Gene names,log2FC,regulated
Q9JHU4,Dync1h1,1.322271840793586,UP
Q62261,Sptbn1,1.0633144767505383,UP
Q80X90,Flnb,1.3280486199764763,UP
P02463,Col4a1,0.9240864146632284,UP
Q01149,Col1a2,0.7981969097570871,UP
Q60847,Col12a1,-2.492430893297398,DOWN
P07901,Hsp90aa1,1.62353781343302,UP
O88207,Col5a1,0.9902027005257905,UP
A2ARV4,Lrp2,0.809227462049801,UP
Q9JKR6,Hyou1,0.6951330364547458,UP
P70398,Usp9x,0.8484386773723728,UP
Q64514,Tpp2,0.5918350433769299,UP
Q8K411,Pitrm1,0.8994604333848195,UP
E9Q557,Dsp,1.4076362341585245,UP
Q91ZX7,Lrp1,0.787273155884711,UP
Q8VHY0,Cspg4,1.5795193767362192,UP
P26039,Tln1,1.0053979185624333,UP
P08003,Pdia4,1.107583698779595,UP
Q04857,Col6a1,0.7851669751471715,UP
P09411,Pgk1,0.7429405541323526,UP
P14733,Lmnb1,0.7905865262206725,UP
Q93092,Taldo1,-0.8110963234713544,DOWN
P21107,Tpm3,-0.598225976874503,DOWN
Q8BHG1,Nrd1,2.4217997840314753,UP
P62259,Ywhae,-0.6389613709349938,DOWN
Q99KI0,Aco2,0.7816749721243317,UP
O35206,Col15a1,0.7988197850162905,UP
Q99KK7,Dpp3,0.9929160923203528,UP
Q3U962,Col5a2,0.6567743627094202,UP
P60710,Actb,-0.8704846462368683,DOWN
Q9DCD0,Pgd,0.882648579840339,UP
P50247,Ahcy,1.0974952334927899,UP
Q9D964,Gatm,0.8490694229487525,UP
P08071,Ltf,0.979289411832607,UP
Q02788,Col6a2,0.9712968288136853,UP
P97798,Neo1,-1.4705213068165204,DOWN
Q64449,Mrc2,1.186066703497449,UP
P09405,Ncl,0.6499682934044572,UP
Q8CFX1,H6pd,0.6912397144443057,UP
O08638,Myh11,1.357278256384068,UP
Q922R8,Pdia6,1.015930816276299,UP
Q61425,Hadh,0.6177705964830197,UP
Q02257,Jup,0.5962240008956992,UP
E9PV24,Fga,-0.6371467122799463,DOWN
Q6GQT1,A2mp,0.6756994015441599,UP
Q8VDD5,Myh9,1.173964162865164,UP
P05214,Tuba3a,0.934428252873426,UP
Q99JY9,Actr3,0.747642511350593,UP
Q9EQK5,Mvp,1.7913851417047026,UP
B2RQC6,Cad,1.0990863883679265,UP
Q8R016,Blmh,0.8258574402341237,UP
Q00519,Xdh,0.6526801455960738,UP
Q62356,Fstl1,0.6720625525372071,UP
P63005,Pafah1b1,0.870499455320495,UP
P68510,Ywhah,-0.6146119598117092,DOWN
Q91VI7,Rnh1,0.647329411097116,UP
Q9EQH3,Vps35,0.8372685478907841,UP
Q60864,Stip1,0.951480044587343,UP
Q9CPV4,Glod4,1.4379343053657239,UP
Q91YI0,Asl,0.9333563199497872,UP
Q6WKZ8,Ubr2,1.1417680739945437,UP
P61982,Ywhag,0.6645169598880567,UP
P30416,Fkbp4,0.7838653487836352,UP
Q9CVB6,Arpc2,0.8061491613652934,UP
Q9QUM9,Psma6,-0.6024676220981903,DOWN
Q8K1J6,Trnt1,1.1557582232430192,UP
Q8BRK9,Man2a2,0.6266932595602102,UP
Q9CZ44,Nsfl1c,1.0775891354326808,UP
Q6P5H2,Nes,2.0071047477149566,UP
Q9Z1Z0,Uso1,0.6024753434406344,UP
P62908,Rps3,0.6696392828766673,UP
P61202,Cops2,1.5338879566672108,UP
Q9CPY7,Lap3,0.6144086521288178,UP
P08228,Sod1,-0.7302943537140916,DOWN
Q9ER72,Cars,1.145772447562171,UP
Q9Z2X1,Hnrnpf,0.8373929641285548,UP
Q3THS6,Mat2a,0.6259794228612461,UP
P19324,Serpinh1,0.6824521006724193,UP
P14152,Mdh1,0.7822599726598258,UP
P97290,Serping1,0.7132771439074489,UP
Q9R118,Htra1,-0.6291420018917853,DOWN
P23249,Mov10,-0.660274792593811,DOWN
Q8VI75,Ipo4,0.6401612441454714,UP
P68040,Gnb2l1,0.9932016763244156,UP
Q8BWZ3,Naa25,3.1318603190521346,UP
Q9DCJ9,Npl,2.0210691081701624,UP
O08749,Dld,0.8376431828259083,UP
P10518,Alad,0.9637139751763124,UP
P97298,Serpinf1,0.8712235199775558,UP
Q62179,Sema4b,0.617708862960229,UP
Q60675,Lama2,0.698760246588171,UP
P61979,Hnrnpk,0.6545824232222437,UP
P11983,Tcp1,-2.319721851086117,DOWN
Q99JI4,Psmd6,-1.0071602255400491,DOWN
Q7TMK9,Syncrip,1.1470696031131742,UP
Q6PDN3,Mylk,0.7649933215587551,UP
Q64737,Gart,0.8881239330156143,UP
Q921M7,Fam49b,0.6397831023754584,UP
P58389,Ppp2r4,0.9662969383623079,UP
Q9JHW2,Nit2,1.1200267282305463,UP
P97807,Fh,0.6941003424236296,UP
P51655,Gpc4,1.836937350362307,UP
P50580,Pa2g4,1.3648034444220294,UP
P17751,Tpi1,-0.6436276296969152,DOWN
Q9D8W5,Psmd12,1.080683394028822,UP
Q9WTX6,Cul1,1.0465170621728332,UP
P40336,Vps26a,0.9788220603758104,UP
Q9D0I9,Rars,1.3251757911937965,UP
Q7TQI3,Otub1,0.9192837532644346,UP
P30115,Gsta3,2.737802295943853,UP
P15532,Nme1,0.6204239919087069,UP
Q9QZE7,Tsnax,0.7867050827466557,UP
O35381,Anp32a,1.7207299183581628,UP
O35855,Bcat2,0.6881174187784138,UP
