UniProt Accession Number	Gene names	log2FC	regulated	p_value	adj_p_value	tier
Q9JHU4	Dync1h1	1.322271840793586	UP	0.202907676805264	0.998030532995944	core
Q62261	Sptbn1	1.0633144767505383	UP	0.0579779845503499	0.998030532995944	core
Q80X90	Flnb	1.3280486199764763	UP	0.151638040120884	0.998030532995944	core
P02463	Col4a1	0.9240864146632284	UP	0.0871311151272984	0.998030532995944	core
Q01149	Col1a2	0.7981969097570871	UP	0.473927071311738	0.998030532995944	core
Q60847	Col12a1	-2.492430893297398	DOWN	0.0107335101985307	0.998030532995944	core
P07901	Hsp90aa1	1.62353781343302	UP	0.0061310158320478	0.99160661699478	core
O88207	Col5a1	0.9902027005257905	UP	0.167673629855355	0.998030532995944	core
A2ARV4	Lrp2	0.809227462049801	UP	0.333688876579511	0.998030532995944	core
Q9JKR6	Hyou1	0.6951330364547458	UP	0.36705791267537	0.998030532995944	core
P70398	Usp9x	0.8484386773723728	UP	0.384634539125895	0.998030532995944	core
Q64514	Tpp2	0.5918350433769299	UP	0.352160717724792	0.998030532995944	core
Q8K411	Pitrm1	0.8994604333848195	UP	0.271071932539025	0.998030532995944	core
E9Q557	Dsp	1.4076362341585245	UP	0.200542756404113	0.998030532995944	core
Q91ZX7	Lrp1	0.787273155884711	UP	0.22466180250847	0.998030532995944	core
Q8VHY0	Cspg4	1.5795193767362192	UP	0.039464912396113	0.998030532995944	core
P26039	Tln1	1.0053979185624333	UP	0.17950817459594	0.998030532995944	core
P08003	Pdia4	1.107583698779595	UP	0.0314465855655981	0.998030532995944	core
Q04857	Col6a1	0.7851669751471715	UP	0.536030723791079	0.998030532995944	core
P09411	Pgk1	0.7429405541323526	UP	0.20109245148029	0.998030532995944	core
P14733	Lmnb1	0.7905865262206725	UP	0.137009127522195	0.998030532995944	core
Q93092	Taldo1	-0.8110963234713544	DOWN	0.0871055226771852	0.998030532995944	core
P21107	Tpm3	-0.598225976874503	DOWN	0.227715014120773	0.998030532995944	core
Q8BHG1	Nrd1	2.4217997840314753	UP	0.0862148565964757	0.998030532995944	core
P62259	Ywhae	-0.6389613709349938	DOWN	0.118327670066759	0.998030532995944	core
Q99KI0	Aco2	0.7816749721243317	UP	0.355454573645377	0.998030532995944	core
O35206	Col15a1	0.7988197850162905	UP	0.108392575688826	0.998030532995944	core
Q99KK7	Dpp3	0.9929160923203528	UP	0.049528183094365	0.998030532995944	core
Q3U962	Col5a2	0.6567743627094202	UP	0.723522873147304	0.998030532995944	core
P60710	Actb	-0.8704846462368683	DOWN	0.420273163107678	0.998030532995944	core
Q9DCD0	Pgd	0.882648579840339	UP	0.103106915218485	0.998030532995944	core
P50247	Ahcy	1.0974952334927899	UP	0.0379935063006751	0.998030532995944	core
Q9D964	Gatm	0.8490694229487525	UP	0.113616014542707	0.998030532995944	core
P08071	Ltf	0.979289411832607	UP	0.721357905407766	0.998030532995944	core
Q02788	Col6a2	0.9712968288136853	UP	0.497057150055495	0.998030532995944	core
P97798	Neo1	-1.4705213068165204	DOWN	0.0215246451115312	0.998030532995944	core
Q64449	Mrc2	1.186066703497449	UP	0.0840487717888902	0.998030532995944	core
P09405	Ncl	0.6499682934044572	UP	0.374235961435562	0.998030532995944	core
Q8CFX1	H6pd	0.6912397144443057	UP	0.120751869043319	0.998030532995944	core
O08638	Myh11	1.357278256384068	UP	0.169630016921475	0.998030532995944	core
Q922R8	Pdia6	1.015930816276299	UP	0.0866487548441077	0.998030532995944	core
Q61425	Hadh	0.6177705964830197	UP	0.3761162673658	0.998030532995944	core
Q02257	Jup	0.5962240008956992	UP	0.535242098405641	0.998030532995944	core
E9PV24	Fga	-0.6371467122799463	DOWN	0.298439388862731	0.998030532995944	core
Q6GQT1	A2mp	0.6756994015441599	UP	0.391044351743723	0.998030532995944	core
Q8VDD5	Myh9	1.173964162865164	UP	0.405130359802924	0.998030532995944	core
P05214	Tuba3a	0.934428252873426	UP	0.638422176005888	0.998030532995944	core
Q99JY9	Actr3	0.747642511350593	UP	0.0940410079441524	0.998030532995944	core
Q9EQK5	Mvp	1.7913851417047026	UP	0.253160729323543	0.998030532995944	core
B2RQC6	Cad	1.0990863883679265	UP	0.283396326880542	0.998030532995944	core
Q8R016	Blmh	0.8258574402341237	UP	0.164464492863852	0.998030532995944	core
Q00519	Xdh	0.6526801455960738	UP	0.234296508328179	0.998030532995944	core
Q62356	Fstl1	0.6720625525372071	UP	0.227802923097056	0.998030532995944	core
P63005	Pafah1b1	0.870499455320495	UP	0.226750405595053	0.998030532995944	core
P68510	Ywhah	-0.6146119598117092	DOWN	0.21451179965064	0.998030532995944	core
Q91VI7	Rnh1	0.647329411097116	UP	0.20305355322682	0.998030532995944	core
Q9EQH3	Vps35	0.8372685478907841	UP	0.393597416049195	0.998030532995944	core
Q60864	Stip1	0.951480044587343	UP	0.0994232632212005	0.998030532995944	core
Q9CPV4	Glod4	1.4379343053657239	UP	0.0359869012770322	0.998030532995944	core
Q91YI0	Asl	0.9333563199497872	UP	0.0976476814763564	0.998030532995944	core
Q6WKZ8	Ubr2	1.1417680739945437	UP	0.567679179088487	0.998030532995944	core
P61982	Ywhag	0.6645169598880567	UP	0.147099650302676	0.998030532995944	core
P30416	Fkbp4	0.7838653487836352	UP	0.242909304981354	0.998030532995944	core
Q9CVB6	Arpc2	0.8061491613652934	UP	0.185342207156416	0.998030532995944	core
Q9QUM9	Psma6	-0.6024676220981903	DOWN	0.149881421597861	0.998030532995944	core
Q8K1J6	Trnt1	1.1557582232430192	UP	0.203514121401901	0.998030532995944	core
Q8BRK9	Man2a2	0.6266932595602102	UP	0.394330361657219	0.998030532995944	core
Q9CZ44	Nsfl1c	1.0775891354326808	UP	0.278710826128637	0.998030532995944	core
Q6P5H2	Nes	2.0071047477149566	UP	0.0462148973921811	0.998030532995944	core
Q9Z1Z0	Uso1	0.6024753434406344	UP	0.41160138219427	0.998030532995944	core
P62908	Rps3	0.6696392828766673	UP	0.474252073639801	0.998030532995944	core
P61202	Cops2	1.5338879566672108	UP	0.0387752548210554	0.998030532995944	core
Q9CPY7	Lap3	0.6144086521288178	UP	0.172415518091504	0.998030532995944	core
P08228	Sod1	-0.7302943537140916	DOWN	0.112524558776289	0.998030532995944	core
Q9ER72	Cars	1.145772447562171	UP	0.143290643091963	0.998030532995944	core
Q9Z2X1	Hnrnpf	0.8373929641285548	UP	0.11412835277353	0.998030532995944	core
Q3THS6	Mat2a	0.6259794228612461	UP	0.326414672518473	0.998030532995944	core
P19324	Serpinh1	0.6824521006724193	UP	0.119627521846761	0.998030532995944	core
P14152	Mdh1	0.7822599726598258	UP	0.0805743721075476	0.998030532995944	core
P97290	Serping1	0.7132771439074489	UP	0.342858230137918	0.998030532995944	core
Q9R118	Htra1	-0.6291420018917853	DOWN	0.226530033204425	0.998030532995944	core
P23249	Mov10	-0.660274792593811	DOWN	0.641594088665842	0.998030532995944	core
Q8VI75	Ipo4	0.6401612441454714	UP	0.409662169719492	0.998030532995944	core
P68040	Gnb2l1	0.9932016763244156	UP	0.0587997643367469	0.998030532995944	core
Q8BWZ3	Naa25	3.1318603190521346	UP	0.014326708931223	0.998030532995944	core
Q9DCJ9	Npl	2.0210691081701624	UP	0.0633724776515574	0.998030532995944	core
O08749	Dld	0.8376431828259083	UP	0.125519840460149	0.998030532995944	core
P10518	Alad	0.9637139751763124	UP	0.0870768308436981	0.998030532995944	core
P97298	Serpinf1	0.8712235199775558	UP	0.36137023842455	0.998030532995944	core
Q62179	Sema4b	0.617708862960229	UP	0.266210227421917	0.998030532995944	core
Q60675	Lama2	0.698760246588171	UP	0.54038393968681	0.998030532995944	core
P61979	Hnrnpk	0.6545824232222437	UP	0.184107456197918	0.998030532995944	core
P11983	Tcp1	-2.319721851086117	DOWN	0.0076404389811626	0.99160661699478	core
Q99JI4	Psmd6	-1.0071602255400491	DOWN	0.169801401093286	0.998030532995944	core
Q7TMK9	Syncrip	1.1470696031131742	UP	0.153940964164986	0.998030532995944	core
Q6PDN3	Mylk	0.7649933215587551	UP	0.194479332101543	0.998030532995944	core
Q64737	Gart	0.8881239330156143	UP	0.189134626081278	0.998030532995944	core
Q921M7	Fam49b	0.6397831023754584	UP	0.338293003162664	0.998030532995944	core
P58389	Ppp2r4	0.9662969383623079	UP	0.347064424196097	0.998030532995944	core
Q9JHW2	Nit2	1.1200267282305463	UP	0.0595348729416472	0.998030532995944	core
P97807	Fh	0.6941003424236296	UP	0.166286904459792	0.998030532995944	core
P51655	Gpc4	1.836937350362307	UP	0.106452610672826	0.998030532995944	core
P50580	Pa2g4	1.3648034444220294	UP	0.0823938678673346	0.998030532995944	core
P17751	Tpi1	-0.6436276296969152	DOWN	0.351707546792548	0.998030532995944	core
Q9D8W5	Psmd12	1.080683394028822	UP	0.0689482367554257	0.998030532995944	core
Q9WTX6	Cul1	1.0465170621728332	UP	0.40950768915972	0.998030532995944	core
P40336	Vps26a	0.9788220603758104	UP	0.285953770331846	0.998030532995944	core
Q9D0I9	Rars	1.3251757911937965	UP	0.0305473562382044	0.998030532995944	core
Q7TQI3	Otub1	0.9192837532644346	UP	0.121082436160993	0.998030532995944	core
P30115	Gsta3	2.737802295943853	UP	0.0008687296555713	0.391217842820048	core
P15532	Nme1	0.6204239919087069	UP	0.341613811620479	0.998030532995944	core
Q9QZE7	Tsnax	0.7867050827466557	UP	0.203105145882059	0.998030532995944	core
O35381	Anp32a	1.7207299183581628	UP	0.0376771336022562	0.998030532995944	core
O35855	Bcat2	0.6881174187784138	UP	0.236807830554755	0.998030532995944	core
Q9JKF1	Iqgap1	1.6107609019512477	UP	0.164002247415353	0.998030532995944	core
Q5SWU9	Acaca	3.386797398715171	UP	0.19573005029915	0.998030532995944	core
P22892	Ap1g1	1.0451892791214112	UP	0.47601849144991	0.998030532995944	core
P80316	Cct5	-0.5940568331067225	DOWN	0.34511044330098	0.998030532995944	core
Q01405	Sec23a	0.6104596728049414	UP	0.349998246612446	0.998030532995944	core
O88544	Cops4	0.6562463822321525	UP	0.212099740670497	0.998030532995944	core
Q9CWH6	Psma8	-0.7714119588881795	DOWN	0.464879306336348	0.998030532995944	core
Q9CZY3	Ube2v1	0.7582600815760292	UP	0.173378182703056	0.998030532995944	core
Q9CY58	Serbp1	0.7519771272733323	UP	0.441314704112389	0.998030532995944	core
O08795	Prkcsh	0.7318636408909805	UP	0.18899735489436	0.998030532995944	core
Q9Z0S1	Bpnt1	0.5884571229832034	UP	0.250567384617098	0.998030532995944	core
Q99JW2	Acy1	1.0063775273715068	UP	0.147173901268547	0.998030532995944	core
Q9CY64	Blvra	0.9416119615481862	UP	0.134251988574804	0.998030532995944	core
Q9CZU6	Cs	0.7631732067787591	UP	0.1847207511536	0.998030532995944	core
O35459	Ech1	2.9942798055215065	UP	0.0016592005792861	0.412694954384432	core
P51660	Hsd17b4	1.2841149062581816	UP	0.357092190815073	0.998030532995944	core
P48759	Ptx3	0.6534951184619688	UP	0.211893267209257	0.998030532995944	core
P10923	Spp1	0.9430454192854253	UP	0.490491248503396	0.998030532995944	core
Q8BFR4	Gns	0.6634050246446335	UP	0.180433812409599	0.998030532995944	core
Q8CDN6	Txnl1	0.7830175743606698	UP	0.109053603604934	0.998030532995944	core
Q9Z1Z2	Strap	0.7578518512969458	UP	0.307734629330803	0.998030532995944	core
P80317	Cct6a	-0.9423347496255263	DOWN	0.0978482381546136	0.998030532995944	core
P05063	Aldoc	1.0808659528566849	UP	0.212622597926323	0.998030532995944	core
Q9CWS0	Ddah1	0.8503363836356996	UP	0.176967568427238	0.998030532995944	core
Q05186	Rcn1	0.8426965243415404	UP	0.288320121265095	0.998030532995944	core
Q9CQI3	Gmfb	1.5189293451977153	UP	0.346856375309327	0.998030532995944	core
Q9Z0N1	Eif2s3x	1.0801577143466137	UP	0.06785578605787	0.998030532995944	core
Q8BGR9	Ublcp1	0.72028489020848	UP	0.286194951508472	0.998030532995944	core
Q9D051	Pdhb	1.4463537373958557	UP	0.167022097714481	0.998030532995944	core
F6ZDS4	Tpr	0.75224056518024	UP	0.433324407150913	0.998030532995944	core
P05132;P68181	Prkaca;Prkacb	1.569315255198692	UP	0.130643895867326	0.998030532995944	core
Q9D819	Ppa1	0.7544236316165847	UP	0.22948864467288	0.998030532995944	core
P59242	Cgn	-0.6084612960094544	DOWN	0.480954790839802	0.998030532995944	core
P30681	Hmgb2	2.1060102713614173	UP	0.0507893573809855	0.998030532995944	core
P63158	Hmgb1	2.318479460104534	UP	0.0820502956212287	0.998030532995944	core
Q62446	Fkbp3	1.5481694704948228	UP	0.0562063995113584	0.998030532995944	core
Q91W89	Man2c1	1.7471981417041418	UP	0.237888544010378	0.998030532995944	core
Q9EQU5	Set	2.8123253883682455	UP	0.21928393659407	0.998030532995944	core
Q8BP92	Rcn2	0.64275371873941	UP	0.343665083431174	0.998030532995944	core
