UniProt Accession Number	Gene names	log2FC	regulated	p_value	adj_p_value
Q9JHU4	Dync1h1	1.322271840793586	UP	0.264629459564551	0.99997988173566
Q62261	Sptbn1	1.0633144767505383	UP	0.145503082522705	0.99997988173566
Q80X90	Flnb	1.3280486199764763	UP	0.238605516857936	0.99997988173566
P02463	Col4a1	0.9240864146632284	UP	0.209240658609999	0.99997988173566
Q01149	Col1a2	0.7981969097570871	UP	0.547494746139831	0.99997988173566
Q60847	Col12a1	-2.492430893297398	DOWN	0.0377054055354214	0.99997988173566
P07901	Hsp90aa1	1.62353781343302	UP	0.0459378283408207	0.99997988173566
O88207	Col5a1	0.9902027005257905	UP	0.277185446409843	0.99997988173566
A2ARV4	Lrp2	0.809227462049801	UP	0.399434086068645	0.99997988173566
Q9JKR6	Hyou1	0.6951330364547458	UP	0.469353476044606	0.99997988173566
P70398	Usp9x	0.8484386773723728	UP	0.40618647317209	0.99997988173566
Q64514	Tpp2	0.5918350433769299	UP	0.462379255214055	0.99997988173566
Q8K411	Pitrm1	0.8994604333848195	UP	0.354381883227855	0.99997988173566
E9Q557	Dsp	1.4076362341585245	UP	0.202418009738913	0.99997988173566
Q91ZX7	Lrp1	0.787273155884711	UP	0.246702648649025	0.99997988173566
Q8VHY0	Cspg4	1.5795193767362192	UP	0.0588756988056886	0.99997988173566
P26039	Tln1	1.0053979185624333	UP	0.148425242837632	0.99997988173566
P08003	Pdia4	1.107583698779595	UP	0.116079511132716	0.99997988173566
Q04857	Col6a1	0.7851669751471715	UP	0.597640222912732	0.99997988173566
P09411	Pgk1	0.7429405541323526	UP	0.341464165758519	0.99997988173566
P14733	Lmnb1	0.7905865262206725	UP	0.248989236393819	0.99997988173566
Q93092	Taldo1	-0.8110963234713544	DOWN	0.236695823002402	0.99997988173566
P21107	Tpm3	-0.598225976874503	DOWN	0.365144079297865	0.99997988173566
Q8BHG1	Nrd1	2.4217997840314753	UP	0.139817787741073	0.99997988173566
P62259	Ywhae	-0.6389613709349938	DOWN	0.306811958896268	0.99997988173566
Q99KI0	Aco2	0.7816749721243317	UP	0.440954541498672	0.99997988173566
O35206	Col15a1	0.7988197850162905	UP	0.241688952806652	0.99997988173566
Q99KK7	Dpp3	0.9929160923203528	UP	0.144766489622676	0.99997988173566
Q3U962	Col5a2	0.6567743627094202	UP	0.757402598557307	0.99997988173566
P60710	Actb	-0.8704846462368683	DOWN	0.495124244260553	0.99997988173566
Q9DCD0	Pgd	0.882648579840339	UP	0.232131275946689	0.99997988173566
P50247	Ahcy	1.0974952334927899	UP	0.122783645669292	0.99997988173566
Q9D964	Gatm	0.8490694229487525	UP	0.238325492342307	0.99997988173566
