id,gene,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,limma_log2FC,p_value,adj_p_value,significant,regulated,n_imputed,AveExpr,t,B
P19137,Lama1,221670000000.0,107470000000.0,119690000000,120100000000,0.364404,0.455805381989143,0.998030532995944,False,NO CHANGE,0,36.9851806182202,0.805709250730006,-5.58803069384697
P16546,Sptan1,11001000000.0,8045800000.0,6124400000,7281800000,0.494468,0.26178291751956,0.998030532995944,False,NO CHANGE,0,32.8840184219171,1.25907889295864,-5.16626063507506
P02469,Lamb1,142020000000.0,60200000000.0,81201000000,109600000000,-0.028944,0.957534156494419,0.998809768174366,False,NO CHANGE,0,36.4426457192351,-0.0558744886456425,-5.9242233188865
P02468,Lamc1,131780000000.0,57350000000.0,91938000000,87224000000,-0.042767,0.934029750842205,0.998030532995944,False,NO CHANGE,0,36.3605908108272,-0.0868767520022822,-5.92177021269505
Q9JHU4,Dync1h1,1933700000.0,655880000.0,855090000,237200000,1.322272,0.202907676805264,0.998030532995944,False,UP,0,29.4076508217588,1.45718260422221,-4.9516517738376
Q62261,Sptbn1,3667500000.0,4221700000.0,1507700000,2351600000,1.063314,0.0579779845503499,0.998030532995944,False,UP,0,31.3420061297444,2.42581556703676,-3.81686564956096
Q05793,Hspg2,12600000000.0,13960000000.0,8894500000,23877000000,-0.135942,0.818975733005014,0.998030532995944,False,NO CHANGE,0,33.694613366343,-0.240773182709258,-5.89397738099384
Q64727,Vcl,31161000000.0,30374000000.0,25489000000,44538000000,-0.131167,0.765427177720021,0.998030532995944,False,NO CHANGE,0,34.9061534469982,-0.314491753433249,-5.87162561035836
Q80X90,Flnb,2996900000.0,5937000000.0,843850000,3345100000,1.328049,0.151638040120884,0.998030532995944,False,UP,0,31.3099310730892,1.6807092683804,-4.6965895804449
P19096,Fasn,7212000000.0,5586600000.0,3690400000,5894900000,0.444563,0.354140071498217,0.998030532995944,False,NO CHANGE,0,32.3412564693,1.01736071169626,-5.40586843787993
P01027,C3,24116000000.0,122930000000.0,20733000000,88345000000,0.347339,0.755692719735819,0.998030532995944,False,NO CHANGE,0,35.4904892329098,0.329091888027232,-5.8660076808611
P11087,Col1a1,28260000000.0,134990000000.0,20608000000,96745000000,0.468075,0.678568588085421,0.998030532995944,False,NO CHANGE,0,35.6120143732712,0.440158812707611,-5.81968771812367
Q8BTM8,Flna,3337500000.0,9931500000.0,3247700000,9942700000,0.018862,0.981839051383278,0.999971162684518,False,NO CHANGE,0,32.4133117334576,0.0238831766450637,-5.92563865753347
P02463,Col4a1,13491000000.0,22020000000.0,7696100000,10721000000,0.924086,0.0871311151272984,0.998030532995944,False,UP,0,33.5426436209135,2.10629790837685,-4.19383218185289
Q9QXS1,Plec,839810000.0,2173400000.0,1154500000,1683000000,-0.045107,0.945425605177107,0.998030532995944,False,NO CHANGE,0,30.3539508388612,-0.0718354096048074,-5.92309317807779
P10493,Nid1,122840000000.0,87879000000.0,83562000000,169460000000,-0.195746,0.695636259686093,0.998030532995944,False,NO CHANGE,0,36.6942676631602,-0.413754645875604,-5.83260255311102
P08121,Col3a1,11953000000.0,71312000000.0,9361700000,42633000000,0.547352,0.648914883509146,0.998030532995944,False,NO CHANGE,0,34.4913636086783,0.48450924981114,-5.79774982705429
Q61316,Hspa4,13825000000.0,8795500000.0,6464800000,13901000000,0.218125,0.698661599133811,0.998030532995944,False,NO CHANGE,0,33.2512767720224,0.409360645088097,-5.83454152347698
P57780,Actn4,28655000000.0,43536000000.0,20632000000,56018000000,0.055111,0.928895602290617,0.998030532995944,False,NO CHANGE,0,35.0122234269384,0.0936607108169335,-5.92109172752589
Q01853,Vcp,77878000000.0,65623000000.0,52317000000,54700000000,0.418298,0.264553847926174,0.998030532995944,False,NO CHANGE,0,35.8478404567969,1.25080377257984,-5.17491405685632
Q01149,Col1a2,14275000000.0,69717000000.0,9016700000,36501000000,0.798197,0.473927071311738,0.998030532995944,False,UP,0,34.4776831118032,0.775279614331276,-5.60976668064308
Q3U1J4,Ddb1,17261000000.0,7665900000.0,10895000000,9422600000,0.18309,0.734158400665913,0.998030532995944,False,NO CHANGE,0,33.3297575574763,0.358452478607084,-5.85558696135634
