id,gene,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,limma_log2FC,p_value,adj_p_value,significant,regulated
P19137,Lama1,221670000000.0,107470000000.0,119690000000,120100000000,-0.364404,0.455805381989136,0.998030532995944,False,NO CHANGE
P16546,Sptan1,11001000000.0,8045800000.0,6124400000,7281800000,-0.494468,0.261782917519562,0.998030532995944,False,NO CHANGE
P02469,Lamb1,142020000000.0,60200000000.0,81201000000,109600000000,0.028944,0.957534156494419,0.998809768174366,False,NO CHANGE
P02468,Lamc1,131780000000.0,57350000000.0,91938000000,87224000000,0.042767,0.934029750842205,0.998030532995944,False,NO CHANGE
Q9JHU4,Dync1h1,1933700000.0,655880000.0,855090000,237200000,-1.322272,0.202907676805264,0.998030532995944,False,DOWN
Q62261,Sptbn1,3667500000.0,4221700000.0,1507700000,2351600000,-1.063314,0.05797798455035,0.998030532995944,False,DOWN
Q05793,Hspg2,12600000000.0,13960000000.0,8894500000,23877000000,0.135942,0.818975733005015,0.998030532995944,False,NO CHANGE
Q64727,Vcl,31161000000.0,30374000000.0,25489000000,44538000000,0.131167,0.765427177720022,0.998030532995944,False,NO CHANGE
Q80X90,Flnb,2996900000.0,5937000000.0,843850000,3345100000,-1.328049,0.151638040120885,0.998030532995944,False,DOWN
P19096,Fasn,7212000000.0,5586600000.0,3690400000,5894900000,-0.444563,0.354140071498217,0.998030532995944,False,NO CHANGE
P01027,C3,24116000000.0,122930000000.0,20733000000,88345000000,-0.347339,0.755692719735819,0.998030532995944,False,NO CHANGE
P11087,Col1a1,28260000000.0,134990000000.0,20608000000,96745000000,-0.468075,0.678568588085421,0.998030532995944,False,NO CHANGE
Q8BTM8,Flna,3337500000.0,9931500000.0,3247700000,9942700000,-0.018862,0.981839051383278,0.999971162684518,False,NO CHANGE
P02463,Col4a1,13491000000.0,22020000000.0,7696100000,10721000000,-0.924086,0.0871311151272984,0.998030532995944,False,DOWN
Q9QXS1,Plec,839810000.0,2173400000.0,1154500000,1683000000,0.045107,0.945425605177107,0.998030532995944,False,NO CHANGE
P10493,Nid1,122840000000.0,87879000000.0,83562000000,169460000000,0.195746,0.695636259686091,0.998030532995944,False,NO CHANGE
P08121,Col3a1,11953000000.0,71312000000.0,9361700000,42633000000,-0.547352,0.648914883509146,0.998030532995944,False,NO CHANGE
Q61316,Hspa4,13825000000.0,8795500000.0,6464800000,13901000000,-0.218125,0.698661599133812,0.998030532995944,False,NO CHANGE
P57780,Actn4,28655000000.0,43536000000.0,20632000000,56018000000,-0.055111,0.928895602290617,0.998030532995944,False,NO CHANGE
Q01853,Vcp,77878000000.0,65623000000.0,52317000000,54700000000,-0.418298,0.264553847926178,0.998030532995944,False,NO CHANGE
Q01149,Col1a2,14275000000.0,69717000000.0,9016700000,36501000000,-0.798197,0.473927071311739,0.998030532995944,False,DOWN
Q3U1J4,Ddb1,17261000000.0,7665900000.0,10895000000,9422600000,-0.18309,0.734158400665913,0.998030532995944,False,NO CHANGE
Q60847,Col12a1,1458000000.0,3840900000.0,9566300000,18537000000,2.492431,0.0107335101985308,0.998030532995944,False,UP
P07901,Hsp90aa1,80575000000.0,57511000000.0,21644000000,22550000000,-1.623538,0.0061310158320477,0.991606616994774,False,DOWN
Q7TPR4,Actn1,19059000000.0,30230000000.0,13833000000,31602000000,-0.199162,0.728276354649192,0.998030532995944,False,NO CHANGE
P08113,Hsp90b1,51398000000.0,30708000000.0,35954000000,31493000000,-0.239572,0.582233817466241,0.998030532995944,False,NO CHANGE
Q3UQ28,Pxdn,9752200000.0,15739000000.0,8553400000,21331000000,0.124689,0.83779933597855,0.998030532995944,False,NO CHANGE
P20029,Hspa5,88100000000.0,62530000000.0,49734000000,56713000000,-0.482889,0.240158246624688,0.998030532995944,False,NO CHANGE
P20152,Vim,79586000000.0,91471000000.0,82392000000,103250000000,0.112373,0.755124960901589,0.998030532995944,False,NO CHANGE
P11276,Fn1,1769200000.0,15289000000.0,1580900000,13428000000,-0.1748,0.908593384052957,0.998030532995944,False,NO CHANGE
O88207,Col5a1,6460400000.0,13185000000.0,3026300000,7132900000,-0.990203,0.167673629855356,0.998030532995944,False,DOWN
P11499,Hsp90ab1,47703000000.0,46922000000.0,43070000000,63350000000,0.142842,0.715251953521559,0.998030532995944,False,NO CHANGE
A2ARV4,Lrp2,1436100000.0,843010000.0,1135100000,347360000,-0.809227,0.333688876579511,0.998030532995944,False,DOWN
Q68FD5,Cltc,4123200000.0,3160800000.0,3425600000,3720900000,-0.016023,0.969192582306594,0.999971162684518,False,NO CHANGE
Q9JKR6,Hyou1,7976800000.0,2693600000.0,4197300000,1952900000,-0.695133,0.36705791267537,0.998030532995944,False,DOWN
P26041,Msn,25694000000.0,33874000000.0,20441000000,33581000000,-0.171249,0.700661796837383,0.998030532995944,False,NO CHANGE
P70398,Usp9x,856490000.0,206520000.0,256270000,212900000,-0.848439,0.384634539125894,0.998030532995944,False,DOWN
P58252,Eef2,22796000000.0,26074000000.0,20634000000,26851000000,-0.050697,0.894172382223791,0.998030532995944,False,NO CHANGE
Q61147,Cp,15313000000.0,86555000000.0,7946500000,125440000000,-0.205529,0.898936352489976,0.998030532995944,False,NO CHANGE
Q6ZQ38,Cand1,8627700000.0,5708600000.0,3285300000,6897300000,-0.560028,0.334986693888351,0.998030532995944,False,NO CHANGE
P63017,Hspa8,57602000000.0,55320000000.0,43543000000,53668000000,-0.223709,0.539475654177953,0.998030532995944,False,NO CHANGE
Q64514,Tpp2,4370500000.0,2122400000.0,2764200000,1477300000,-0.591835,0.352160717724793,0.998030532995944,False,DOWN
P27546,Map4,4663600000.0,2186500000.0,2286700000,2480300000,-0.423143,0.447001573963828,0.998030532995944,False,NO CHANGE
Q9WTQ5,Akap12,8015900000.0,2575600000.0,3925300000,3255300000,-0.34609,0.608977953038627,0.998030532995944,False,NO CHANGE
P27773,Pdia3,90794000000.0,93288000000.0,76820000000,78815000000,-0.242168,0.483938474530429,0.998030532995944,False,NO CHANGE
P58771,Tpm1,24168000000.0,18189000000.0,16336000000,14735000000,-0.434431,0.28959896547158,0.998030532995944,False,NO CHANGE
P09103,P4hb,59146000000.0,65454000000.0,50367000000,56172000000,-0.226216,0.52559640648331,0.998030532995944,False,NO CHANGE
P52480,Pkm,30305000000.0,54250000000.0,30012000000,49621000000,-0.071344,0.886950428991159,0.998030532995944,False,NO CHANGE
Q8K411,Pitrm1,2958000000.0,945950000.0,1224700000,656610000,-0.89946,0.271071932539024,0.998030532995944,False,DOWN
Q6IRU2,Tpm4,8842600000.0,12910000000.0,7496300000,13789000000,-0.071632,0.886465632984169,0.998030532995944,False,NO CHANGE
Q91V92,Acly,5927400000.0,4106200000.0,4573500000,6171400000,0.106847,0.810716071806753,0.998030532995944,False,NO CHANGE
Q8BKC5,Ipo5,6306700000.0,5492500000.0,4544700000,4048800000,-0.456334,0.277322376769304,0.998030532995944,False,NO CHANGE
P17156,Hspa2,4649800000.0,736210000.0,3311500000,1057300000,0.016256,0.988306755413488,0.999971162684518,False,NO CHANGE
Q11011,Npepps,9532000000.0,7411500000.0,6892300000,8275800000,-0.15433,0.704245916377996,0.998030532995944,False,NO CHANGE
E9Q557,Dsp,482450000.0,182200000.0,65161000,191660000,-1.407636,0.200542756404113,0.998030532995944,False,DOWN
Q6P5F9,Xpo1,4594500000.0,1765300000.0,2899600000,3013900000,0.053832,0.928923230198218,0.998030532995944,False,NO CHANGE
Q9EPL2,Clstn1,5881400000.0,3990800000.0,3438900000,4518500000,-0.297523,0.515959437748881,0.998030532995944,False,NO CHANGE
Q921I1,Tf,9822600000.0,16300000000.0,8639800000,11738000000,-0.329396,0.487152542041534,0.998030532995944,False,NO CHANGE
Q02819,Nucb1,20940000000.0,20963000000.0,16482000000,20973000000,-0.172341,0.649602276914976,0.998030532995944,False,NO CHANGE
Q91ZX7,Lrp1,616220000.0,901940000.0,391620000,476500000,-0.787273,0.224661802508469,0.998030532995944,False,DOWN
P06801,Me1,49177000000.0,40095000000.0,42746000000,54773000000,0.123924,0.743363856964372,0.998030532995944,False,NO CHANGE
P09470,Ace,8033100000.0,7725800000.0,5736600000,6869900000,-0.327578,0.415400421348157,0.998030532995944,False,NO CHANGE
Q80YX1,Tnc,783070000.0,4713500000.0,910600000,3044800000,-0.206388,0.852419760843849,0.998030532995944,False,NO CHANGE
P13020,Gsn,12304000000.0,17234000000.0,11320000000,10084000000,-0.446722,0.295845799012278,0.998030532995944,False,NO CHANGE
Q8VHY0,Cspg4,1202600000.0,931490000.0,282240000,444340000,-1.579519,0.0394649123961129,0.998030532995944,False,DOWN
P26039,Tln1,466810000.0,363020000.0,185690000,226450000,-1.005398,0.179508174595939,0.998030532995944,False,DOWN
Q02053,Uba1,5035800000.0,3624500000.0,3129100000,2629500000,-0.574733,0.219280824141227,0.998030532995944,False,NO CHANGE
Q8BHN3,Ganab,8321400000.0,7655100000.0,4314800000,8801800000,-0.373078,0.474077891276405,0.998030532995944,False,NO CHANGE
Q61598,Gdi2,23816000000.0,21743000000.0,17311000000,14438000000,-0.525461,0.195415459751877,0.998030532995944,False,NO CHANGE
P48722,Hspa4l,2337400000.0,442310000.0,1714000000,300240000,-0.50324,0.68783615342552,0.998030532995944,False,NO CHANGE
O88844,Idh1,26143000000.0,27113000000.0,17994000000,24912000000,-0.330526,0.409464520123724,0.998030532995944,False,NO CHANGE
P35441,Thbs1,4073200000.0,24938000000.0,4013400000,31819000000,0.165103,0.905058022229308,0.998030532995944,False,NO CHANGE
Q61292,Lamb2,2372600000.0,1128800000.0,1460100000,1222500000,-0.292679,0.612622659749618,0.998030532995944,False,NO CHANGE
P15626,Gstm2,157020000000.0,106230000000.0,105870000000,138210000000,-0.094492,0.813465783815388,0.998030532995944,False,NO CHANGE
P08003,Pdia4,10610000000.0,9774800000.0,4191900000,5328200000,-1.107584,0.0314465855655979,0.998030532995944,False,DOWN
Q04857,Col6a1,3972900000.0,30095000000.0,3197600000,12591000000,-0.785167,0.536030723791079,0.998030532995944,False,DOWN
Q06890,Clu,348930000000.0,485710000000.0,187450000000,453330000000,-0.497983,0.381046276310297,0.998030532995944,False,NO CHANGE
Q07113,Igf2r,334700000.0,208050000.0,311730000,357350000,0.338918,0.632124733623854,0.998030532995944,False,NO CHANGE
P09411,Pgk1,18997000000.0,30204000000.0,10108000000,20267000000,-0.742941,0.201092451480291,0.998030532995944,False,DOWN
P17182,Eno1,40757000000.0,44413000000.0,26323000000,35114000000,-0.48483,0.23208092143094,0.998030532995944,False,NO CHANGE
P05064,Aldoa,58959000000.0,54767000000.0,32034000000,53571000000,-0.455981,0.306733344604106,0.998030532995944,False,NO CHANGE
P14733,Lmnb1,3052300000.0,2293500000.0,1279600000,1828400000,-0.790587,0.137009127522194,0.998030532995944,False,DOWN
P26043,Rdx,2437300000.0,2445700000.0,2091000000,1449300000,-0.487991,0.307505773683547,0.998030532995944,False,NO CHANGE
P40142,Tkt,19486000000.0,22121000000.0,12095000000,33779000000,-0.038659,0.948951021153497,0.998030532995944,False,NO CHANGE
Q8VHX6,Flnc,195400000.0,682560000.0,155890000,403920000,-0.541394,0.589722565242784,0.998030532995944,False,NO CHANGE
P48678,Lmna,2275100000.0,4344300000.0,1914000000,3890800000,-0.204198,0.736790508918527,0.998030532995944,False,NO CHANGE
Q8VDM4,Psmd2,4088700000.0,2873300000.0,2970100000,2285600000,-0.395633,0.397730778739508,0.998030532995944,False,NO CHANGE
P26040,Ezr,1687500000.0,1407400000.0,648790000,1921700000,-0.464857,0.509606707506663,0.998030532995944,False,NO CHANGE
Q93092,Taldo1,29678000000.0,30931000000.0,42688000000,66199000000,0.811096,0.0871055226771848,0.998030532995944,False,UP
Q8K010,Oplah,1281500000.0,612940000.0,797910000,676290000,-0.27082,0.668432993644312,0.998030532995944,False,NO CHANGE
P63038,Hspd1,9871300000.0,6317100000.0,7472800000,4619600000,-0.426543,0.400661419257042,0.998030532995944,False,NO CHANGE
P70663,Sparcl1,4226800000.0,9360200000.0,2460900000,12932000000,-0.157023,0.868342381595725,0.998030532995944,False,NO CHANGE
Q9R0B9,Plod2,14213000000.0,10877000000.0,16168000000,14175000000,0.283999,0.479028846132401,0.998030532995944,False,NO CHANGE
P27046,Man2a1,2612400000.0,2091500000.0,2313700000,2114200000,-0.0798,0.852393320053987,0.998030532995944,False,NO CHANGE
P21107,Tpm3,1814300000.0,2586300000.0,2837300000,3790100000,0.598226,0.227715014120773,0.998030532995944,False,UP
Q8BHG1,Nrd1,2388000000.0,1778900000.0,121660000,1216100000,-2.4218,0.086214856596476,0.998030532995944,False,DOWN
P62259,Ywhae,32934000000.0,33045000000.0,56646000000,46588000000,0.638961,0.118327670066759,0.998030532995944,False,UP
Q99KI0,Aco2,2746600000.0,1299800000.0,2026900000,595970000,-0.781675,0.355454573645377,0.998030532995944,False,DOWN
Q921M3,Sf3b3,3295300000.0,1979800000.0,2487600000,2923000000,0.07822,0.870033893907042,0.998030532995944,False,NO CHANGE
P14211,Calr,68634000000.0,59059000000.0,86690000000,40301000000,-0.1072,0.830983691123025,0.998030532995944,False,NO CHANGE
P10649,Gstm1,94505000000.0,83097000000.0,109160000000,111220000000,0.314265,0.375512914611477,0.998030532995944,False,NO CHANGE
Q00493,Cpe,84029000000.0,55538000000.0,110470000000,61794000000,0.274343,0.57128061350303,0.998030532995944,False,NO CHANGE
O35206,Col15a1,8311700000.0,7842900000.0,5753600000,3743600000,-0.79882,0.108392575688826,0.998030532995944,False,DOWN
O88342,Wdr1,14592000000.0,19698000000.0,12850000000,18865000000,-0.122873,0.774935631172085,0.998030532995944,False,NO CHANGE
P17710,Hk1,2054600000.0,2490400000.0,2121600000,2704400000,0.082613,0.850236536397768,0.998030532995944,False,NO CHANGE
Q99MD9,Nasp,3074500000.0,634880000.0,1585100000,714300000,-0.392866,0.682289234881831,0.998030532995944,False,NO CHANGE
Q6P5E4,Uggt1,2170400000.0,2350300000.0,2353200000,2298300000,0.042193,0.918942446345585,0.998030532995944,False,NO CHANGE
P37889,Fbln2,3241000000.0,8715300000.0,2665500000,11234000000,0.042108,0.962953602007446,0.999824267041861,False,NO CHANGE
Q99KK7,Dpp3,5001500000.0,4602700000.0,2662100000,2183200000,-0.992916,0.0495281830943651,0.998030532995944,False,DOWN
Q8K0E8,Fgb,7745100000.0,18310000000.0,13514000000,22937000000,0.564072,0.36651410716289,0.998030532995944,False,NO CHANGE
Q5SUR0,Pfas,2539400000.0,1873500000.0,2065100000,2307800000,0.001253,0.997739029502716,0.999971162684518,False,NO CHANGE
P22777,Serpine1,46746000000.0,120370000000.0,42249000000,81329000000,-0.35578,0.583668617910846,0.998030532995944,False,NO CHANGE
Q3U962,Col5a2,719270000.0,8091000000.0,376680000,6215900000,-0.656774,0.723522873147304,0.998030532995944,False,DOWN
P60710,Actb,2447100000.0,363070000.0,1289700000,2302700000,0.870485,0.420273163107679,0.998030532995944,False,UP
P63260,Actg1,108290000000.0,104350000000.0,74256000000,113930000000,-0.208802,0.598612850526147,0.998030532995944,False,NO CHANGE
P18760,Cfl1,20120000000.0,20040000000.0,11077000000,23143000000,-0.326685,0.521986008751437,0.998030532995944,False,NO CHANGE
P06151,Ldha,39897000000.0,76510000000.0,45130000000,38558000000,-0.405406,0.402522522052662,0.998030532995944,False,NO CHANGE
