id,gene,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,limma_log2FC,p_value,adj_p_value,significant,regulated,n_imputed,AveExpr,t,B
P19137,Lama1,221670000000.0,107470000000.0,119690000000,120100000000,0.364404,0.606733359343949,0.99997988173566,False,NO CHANGE,0,36.9851806182202,0.558744574523312,-4.82990463978233
P16546,Sptan1,11001000000.0,8045800000.0,6124400000,7281800000,0.494468,0.432407801124973,0.99997988173566,False,NO CHANGE,0,32.8840184219171,0.874045351295772,-4.71915953204049
P02469,Lamb1,142020000000.0,60200000000.0,81201000000,109600000000,-0.028944,0.969523991812418,0.99997988173566,False,NO CHANGE,0,36.4426457192351,-0.0407011820492259,-4.91725200626475
P02468,Lamc1,131780000000.0,57350000000.0,91938000000,87224000000,-0.042767,0.95334757147971,0.99997988173566,False,NO CHANGE,0,36.3605908108272,-0.06233407861423,-4.91658753611674
Q9JHU4,Dync1h1,1933700000.0,655880000.0,855090000,237200000,1.322272,0.264629459564551,0.99997988173566,False,UP,0,29.4076508217588,1.30062588110039,-4.53718880983836
Q62261,Sptbn1,3667500000.0,4221700000.0,1507700000,2351600000,1.063314,0.145503082522705,0.99997988173566,False,UP,0,31.3420061297444,1.81335963193348,-4.31637577436902
Q05793,Hspg2,12600000000.0,13960000000.0,8894500000,23877000000,-0.135942,0.863404797868837,0.99997988173566,False,NO CHANGE,0,33.694613366343,-0.183646161982604,-4.90774699795179
Q64727,Vcl,31161000000.0,30374000000.0,25489000000,44538000000,-0.131167,0.839822597162429,0.99997988173566,False,NO CHANGE,0,34.9061534469982,-0.215925874883073,-4.90395728337712
Q80X90,Flnb,2996900000.0,5937000000.0,843850000,3345100000,1.328049,0.238605516857936,0.99997988173566,False,UP,0,31.3099310730892,1.38893901540221,-4.4981594994867
P19096,Fasn,7212000000.0,5586600000.0,3690400000,5894900000,0.444563,0.501627752745234,0.99997988173566,False,NO CHANGE,0,32.3412564693,0.739206967264141,-4.77030586089849
P01027,C3,24116000000.0,122930000000.0,20733000000,88345000000,0.347339,0.794308004440992,0.99997988173566,False,NO CHANGE,0,35.4904892329098,0.279064708392335,-4.89485212914435
P11087,Col1a1,28260000000.0,134990000000.0,20608000000,96745000000,0.468075,0.728160324786215,0.99997988173566,False,NO CHANGE,0,35.6120143732712,0.373427300286213,-4.87722931833068
Q8BTM8,Flna,3337500000.0,9931500000.0,3247700000,9942700000,0.018862,0.985387623736564,0.99997988173566,False,NO CHANGE,0,32.4133117334576,0.0195098481578572,-4.91763263833341
P02463,Col4a1,13491000000.0,22020000000.0,7696100000,10721000000,0.924086,0.209240658609999,0.99997988173566,False,UP,0,33.5426436209135,1.50094417308841,-4.44893554489737
Q9QXS1,Plec,839810000.0,2173400000.0,1154500000,1683000000,-0.045107,0.95504671949263,0.99997988173566,False,NO CHANGE,0,30.3539508388612,-0.0600602896057232,-4.91667046804274
P10493,Nid1,122840000000.0,87879000000.0,83562000000,169460000000,-0.195746,0.784938500665261,0.99997988173566,False,NO CHANGE,0,36.6942676631602,-0.292223952293802,-4.89267818086628
P08121,Col3a1,11953000000.0,71312000000.0,9361700000,42633000000,0.547352,0.700244372714838,0.99997988173566,False,NO CHANGE,0,34.4913636086783,0.414434670548916,-4.86814518139159
Q61316,Hspa4,13825000000.0,8795500000.0,6464800000,13901000000,0.218125,0.772584648022809,0.99997988173566,False,NO CHANGE,0,33.2512767720224,0.309670658009739,-4.88965195513843
P57780,Actn4,28655000000.0,43536000000.0,20632000000,56018000000,0.055111,0.946659180368201,0.99997988173566,False,NO CHANGE,0,35.0122234269384,0.071288509536881,-4.91623108211928
Q01853,Vcp,77878000000.0,65623000000.0,52317000000,54700000000,0.418298,0.48460900670703,0.99997988173566,False,NO CHANGE,0,35.8478404567969,0.770940564135332,-4.75870794199684
Q01149,Col1a2,14275000000.0,69717000000.0,9016700000,36501000000,0.798197,0.547494746139831,0.99997988173566,False,UP,0,34.4776831118032,0.65748845243598,-4.79872529518983
Q3U1J4,Ddb1,17261000000.0,7665900000.0,10895000000,9422600000,0.18309,0.802218603904981,0.99997988173566,False,NO CHANGE,0,33.3297575574763,0.268000691226259,-4.89660699048979
Q60847,Col12a1,1458000000.0,3840900000.0,9566300000,18537000000,-2.492431,0.0377054055354214,0.99997988173566,False,DOWN,0,32.3862858619564,-3.08758349718938,-3.90735983690897
P07901,Hsp90aa1,80575000000.0,57511000000.0,21644000000,22550000000,1.623538,0.0459378283408207,0.99997988173566,False,UP,0,35.174597145547,2.8847755252864,-3.95765511949308
Q7TPR4,Actn1,19059000000.0,30230000000.0,13833000000,31602000000,0.199162,0.797110359519242,0.99997988173566,False,NO CHANGE,0,34.3829267840855,0.275140516949472,-4.89548219921224
P08113,Hsp90b1,51398000000.0,30708000000.0,35954000000,31493000000,0.239572,0.710955833079525,0.99997988173566,False,NO CHANGE,0,35.0896585123144,0.39860492718164,-4.87175067828173
Q3UQ28,Pxdn,9752200000.0,15739000000.0,8553400000,21331000000,-0.124689,0.876869380640145,0.99997988173566,False,NO CHANGE,0,33.5906972023361,-0.165324478928825,-4.90963261630056
P20029,Hspa5,88100000000.0,62530000000.0,49734000000,56713000000,0.482889,0.443600878662345,0.99997988173566,False,NO CHANGE,0,35.8696815686222,0.851129271042869,-4.7281756127521
P20152,Vim,79586000000.0,91471000000.0,82392000000,103250000000,-0.112373,0.848837124006147,0.99997988173566,False,NO CHANGE,0,36.3683817566467,-0.203555890629227,-4.90547964435143
