Gene names,UniProt Accession Number,log2FC,fold_change,p_value,adj_p_value
Hist1h2ba,P70696,-6.833555270006145,0.008767885842883905,0.001009333959804,0.391217842820048
Arglu1,Q3UL36,-4.804144857423629,0.03579384016089585,0.0017035911429697,0.412694954384432
Abhd14b,Q8VCR7,-4.576399201098807,0.04191471990536894,0.0001583546204124,0.116075908668444
Col16a1,Q8BLX7,-4.396480833038986,0.04748182399983419,0.0072553314757733,0.99160661699478
Hnrnpa0,Q9CX86,-3.7783923846362906,0.07287701180420891,0.0909618285075805,0.998030532995944
Amacr,O09174,-3.6865809798631393,0.07766557172866902,0.0538228533284807,0.998030532995944
Zc3h15,Q3TIV5,-3.4798592961570907,0.08963094414375398,0.089553859622775,0.998030532995944
Kiaa0319l,Q8K135,-3.3542013569915063,0.09778782351502191,0.0860405971086013,0.998030532995944
Cxcl1,P12850,-3.303868623867206,0.1012596547917154,0.0557493403360171,0.998030532995944
Khsrp,Q3U0V1,-3.0635599851785633,0.11961249541572744,0.0240943204278631,0.998030532995944
Ppm1a,P49443,-2.856413860334995,0.1380809441726541,0.0457708849697141,0.998030532995944
Itm2b,O89051,-2.8540732142794076,0.13830515021114462,0.0574992512973636,0.998030532995944
Cryab,P23927,-2.788147119971317,0.14477183679865085,0.0887361117103436,0.998030532995944
Timm50,Q9D880,-2.7276559524896413,0.15097107255458658,0.288887271342203,0.998030532995944
Nedd8,P29595,-2.7086945783767455,0.15296838544797134,0.0807557342373423,0.998030532995944
Eif2s2,Q99L45,-2.685688325738035,0.15542728289584826,0.157135708036634,0.998030532995944
Cecr5,Q91WM2,-2.6818866191643718,0.15583739600278537,0.125654494893855,0.998030532995944
Srrt,Q99MR6,-2.549619447701204,0.17080007958475218,0.182167572820011,0.998030532995944
Col12a1,Q60847,-2.492430893297398,0.17770659232882505,0.0107335101985307,0.998030532995944
Ddx46,Q569Z5,-2.487156819381078,0.1783574249030022,0.224983709422228,0.998030532995944
Tcp1,P11983,-2.319721851086117,0.20030608431441577,0.0076404389811626,0.99160661699478
Qsox2,Q3TMX7,-2.3102376588445317,0.20162722250149137,0.0511762618474426,0.998030532995944
Plxnb2,B2RXS4,-2.3004644411240562,0.20299773830774961,0.144658756156304,0.998030532995944
Ube3a,O08759,-2.1787103503704803,0.22087310307317176,0.118024731417466,0.998030532995944
Ehd1,Q9WVK4,-2.123618020627148,0.22947071902156474,0.34314146041949,0.998030532995944
Hmbs,P22907,-2.05371174568956,0.24086359388496023,0.181131252063107,0.998030532995944
Mob4,Q6PEB6,-2.0314412635714976,0.24461058441621558,0.0721206384782167,0.998030532995944
Col18a1,P39061,-2.031338359311053,0.24462803257283006,0.0810977200349935,0.998030532995944
Ppif,Q99KR7,-1.975505990775822,0.25428072450282635,0.0501997970505741,0.998030532995944
Txndc17,Q9CQM5,-1.942337265548184,0.26019456541352176,0.0543124438384343,0.998030532995944
Efemp2,Q9WVJ9,-1.9292583100622758,0.26256412050426114,0.0831359677338647,0.998030532995944
Ppp2ca,P63330,-1.8999953622536125,0.26794422697714176,0.0181031494418273,0.998030532995944
Tgfb3,P17125,-1.806509824257048,0.28588169964534205,0.204728721538731,0.998030532995944
