Gene names,UniProt Accession Number,log2FC,fold_change,p_value,adj_p_value,n_imputed
Nudt16l1,Q8VHN8,-3.651738,0.07956413135197464,0.0440151388108498,0.998030532995944,1
Snrpf,P62307,-3.333462,0.09920371787611793,0.167859444433868,0.998030532995944,1
Uap1l1,Q3TW96,-3.081781,0.11811130796980421,0.133327447848465,0.998030532995944,1
Ethe1,Q9DCM0,-2.963762,0.12817954864765563,0.100876021956834,0.998030532995944,1
Atox1,O08997,-2.910226,0.13302543257239022,0.276197771017489,0.998030532995944,1
Mgarp,Q8VI64,-2.698501,0.1540530338984725,0.237037356207441,0.998030532995944,1
Pddc1,Q8BFQ8,-2.650529,0.1592616704567155,0.172910056801637,0.998030532995944,1
Dtymk,P97930,-2.600175,0.1649184828965155,0.194667308097304,0.998030532995944,1
Fbln5,Q9WVH9,-2.447455,0.18333383871553458,0.130131353511151,0.998030532995944,1
Adamts4,Q8BNJ2,-2.312416,0.20132301305663933,0.339903696489462,0.998030532995944,1
Sulf1,Q8K007,-2.244465,0.21103219238146967,0.198781193216669,0.998030532995944,2
Gyg1,Q9R062,-2.237398,0.21206846348222042,0.495143351537676,0.998030532995944,1
Ogn,Q62000,-2.224247,0.2140104278409098,0.379854967191701,0.998030532995944,1
Arl1,P61211,-2.128138,0.22875290978347745,0.221120704172917,0.998030532995944,1
Prss23,Q9D6X6,-2.115121,0.23082621728892688,0.367550256555871,0.998030532995944,1
Dnm1l,Q8K1M6,-2.098466,0.23350640043299614,0.497175676769434,0.998030532995944,1
Xrcc4,Q924T3,-2.064902,0.2390025639144625,0.291781436368523,0.998030532995944,2
Bid,P70444,-2.045853,0.2421792223287707,0.197875923557608,0.998030532995944,1
Eif3j1;Eif3j2,Q3UGC7;Q66JS6,-2.008892,0.24846387261399938,0.201703960566039,0.998030532995944,1
Rheb,Q921J2,-1.958647,0.2572696182486323,0.270012200566558,0.998030532995944,1
As3mt,Q91WU5,-1.8697,0.27363031922488784,0.396054932049408,0.998030532995944,2
Adrm1,Q9JKV1,-1.858923,0.2756820041662823,0.455042943701254,0.998030532995944,1
Celsr3,Q91ZI0,-1.846228,0.27811857349294117,0.382158754115004,0.998030532995944,1
Pofut2,Q8VHI3,-1.842196,0.2788969379485762,0.294856549011455,0.998030532995944,1
Atp6v1d,P57746,-1.778608,0.29146448366720024,0.354101378873714,0.998030532995944,1
Cdkn2aipnl,Q9D211,-1.776991,0.2917913457380766,0.210139044071641,0.998030532995944,1
Nmi,O35309,-1.749419,0.2974215317923704,0.397392016243914,0.998030532995944,1
