Gene names,UniProt Accession Number,log2FC,fold_change,p_value,adj_p_value
Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bm,Q6ZWY9;Q64525;Q64478;P10854,10.097778042964512,1095.8070255213995,6.52892401415965e-05,0.116075908668444
Gspt1;Gspt2,Q8R050;Q149F3,4.157476607729384,17.84535390464678,0.0016764905441033,0.412694954384432
Ppp2cb,P62715,4.070062117057368,16.796190103582074,0.0036655863948577,0.710390643323426
Memo1,Q91VH6,3.940526071446443,15.353823582637704,0.0119051014139439,0.998030532995944
Nap1l4,Q78ZA7,3.530168342589996,11.552781535613667,0.0853796011451439,0.998030532995944
Acaca,Q5SWU9,3.386797398715171,10.459901774893991,0.19573005029915,0.998030532995944
Ndufv2,Q9D6J6,3.3862053531436427,10.455610176287838,0.0021372089398181,0.46021232504083
Ybx3,Q9JKB3,3.353103824392939,10.218445423507994,0.0075307067900916,0.99160661699478
Usp47,Q8BY87,3.2114741318496414,9.262965445933242,0.131431475066179,0.998030532995944
Naa25,Q8BWZ3,3.1318603190521346,8.765645405483037,0.014326708931223,0.998030532995944
Anp32b,Q9EST5,3.1257568665957005,8.72863987894692,0.0833539452891832,0.998030532995944
Naca,Q60817;P70670,3.104431626517519,8.600566121392141,0.0107844277831569,0.998030532995944
Ech1,O35459,2.9942798055215065,7.9683433064645905,0.0016592005792861,0.412694954384432
Rbm3,O89086,2.865187348261792,7.286304806257011,0.007778334432972,0.99160661699478
Crym,O54983,2.8575764912020363,7.2479675244693755,0.0380804849665713,0.998030532995944
Npnt,Q91V88,2.8523760052853655,7.221887793416884,0.0720592848025886,0.998030532995944
Pde6d,O55057,2.8478015569911532,7.199025142806787,0.0113351938291289,0.998030532995944
Set,Q9EQU5,2.8123253883682455,7.024158445187924,0.21928393659407,0.998030532995944
Ppm1b,P36993,2.7756016648042783,6.847615355062374,0.0421346955335875,0.998030532995944
Cnn3,Q9DAW9,2.7608653789223174,6.778026977311858,0.0838920767815516,0.998030532995944
Epb41l2,O70318,2.7588507231833903,6.768568387351488,0.0397590004738405,0.998030532995944
Gsta3,P30115,2.737802295943853,6.670534171239998,0.0008687296555713,0.391217842820048
Myl12b,Q3THE2,2.675609256220086,6.389084658700759,0.0969908800914048,0.998030532995944
C4b,P01029,2.669429410171504,6.361775272917964,0.0414199541117506,0.998030532995944
Eif4h,Q9WUK2,2.6429001392340528,6.245859598685207,0.0406856601410346,0.998030532995944
Olfml3,Q8BK62,2.64167886117142,6.240574556880858,0.36456161098114,0.998030532995944
Rab18,P35293,2.586349670886298,6.0057718529449495,0.0626946582884224,0.998030532995944
Wdr12,Q9JJA4,2.453775558662149,5.478479561673535,0.100316632658423,0.998030532995944
A2m,Q61838,2.448793270867606,5.459592490195122,0.189553343897097,0.998030532995944
Tars,Q9D0R2,2.445917074753994,5.448718940462811,0.04972300749489,0.998030532995944
Sumf2,Q8BPG6,2.4415565141602555,5.4322749949617375,0.0655041642592459,0.998030532995944
Nrd1,Q8BHG1,2.4217997840314753,5.358390725283668,0.0862148565964757,0.998030532995944
St13,Q99L47,2.4142068102447087,5.330263338523633,0.0255133189772106,0.998030532995944
Isoc2a,P85094,2.4069821536642335,5.303637434065494,0.0651600528101426,0.998030532995944
Hdgfrp3,Q9JMG7,2.3849200623081765,5.223149732998051,0.253141057610363,0.998030532995944
Zadh2,Q8BGC4,2.339979938972136,5.062955973748894,0.0468663718196526,0.998030532995944
Nat2,P50295,2.3313314781000516,5.0326960824194344,0.092803435143332,0.998030532995944
Hmgb1,P63158,2.318479460104534,4.988062216409398,0.0820502956212287,0.998030532995944
Chmp4b,Q9D8B3,2.2972474672780354,4.9151909583066375,0.0204278157794289,0.998030532995944
Ptrf,O54724,2.2577915130393573,4.78258799509415,0.0278269157464377,0.998030532995944
Lrp8,Q924X6,2.2483170875951477,4.751282826262098,0.0791672965908048,0.998030532995944
Nt5c3b,Q3UFY7,2.226353334084065,4.67949658319614,0.110338681826114,0.998030532995944
Rps20,P60867,2.190416258716678,4.5643716250562365,0.266728145343071,0.998030532995944
P4ha1,Q60715,2.1859643231281676,4.550308384052328,0.0223262609719228,0.998030532995944
Pea15,Q62048,2.174889168051722,4.515510711486283,0.126824917780702,0.998030532995944
Ppp1cb,P62141,2.172716925131027,4.5087168949575585,0.008186638736799,0.99160661699478
Glb1,P23780,2.148417681412832,4.433412743808526,0.0676149546582551,0.998030532995944
Snx12,O70493,2.13846713443071,4.402939847404825,0.0117590911096107,0.998030532995944
Eif3a,P23116,2.132723372255948,4.385445392024743,0.0514895249397253,0.998030532995944
Hmgb2,P30681,2.1060102713614173,4.304991148691281,0.0507893573809855,0.998030532995944
Pin4,Q9CWW6,2.0875747438783847,4.2503296639973165,0.216309936549906,0.998030532995944
Ciao1,Q99KN2,2.085343597098782,4.24376155363735,0.140868877504776,0.998030532995944
Sec31a,Q3UPL0,2.071014998174164,4.2018218577128525,0.196378183678137,0.998030532995944
Rpn1,Q91YQ5,2.0662071857005113,4.1878425015484675,0.307918035740514,0.998030532995944
Abhd10,Q6PE15,2.0383943397485984,4.107880859046005,0.188261959005481,0.998030532995944
Npl,Q9DCJ9,2.0210691081701624,4.058844608982365,0.0633724776515574,0.998030532995944
Hmgn5,Q9JL35,2.018601040838401,4.051906941807686,0.100848281972217,0.998030532995944
Vcan,Q62059,2.0177679011383396,4.0495676879237426,0.377965311687869,0.998030532995944
Nes,Q6P5H2,2.0071047477149566,4.019747127185064,0.0462148973921811,0.998030532995944
Ccbl2,Q71RI9,2.003159255456092,4.008768913754939,0.186292161595323,0.998030532995944
Rps14,P62264,1.9945586403155764,3.984941762655404,0.33732914773589,0.998030532995944
Efnb1,P52795,1.985992278910421,3.961350287117,0.0414863262051829,0.998030532995944
Ppm1n,Q8BGL1,1.9650880532064892,3.904365334210076,0.38267732501761,0.998030532995944
Mt1,P02802,1.9646692619945152,3.903232124111426,0.147904577744769,0.998030532995944
Fahd1,Q8R0F8,1.943520433046268,3.8464310121403074,0.187481845905708,0.998030532995944
Mrto4,Q9D0I8,1.9418538173678814,3.841990142292606,0.180774355539116,0.998030532995944
Wdr61,Q9ERF3,1.9277193993751403,3.804533061070406,0.193285493202432,0.998030532995944
Matr3,Q8K310,1.926796266488124,3.80209944475269,0.0521632295179737,0.998030532995944
Ppcs,Q8VDG5,1.9138246162432155,3.7680669960918554,0.226502721126977,0.998030532995944
Thrap3,Q569Z6,1.9007983583184902,3.7341978242030422,0.1691054681785,0.998030532995944
Fam192a,Q91WE2,1.8912609019305262,3.7095929806321126,0.311803906614342,0.998030532995944
Dnaja2,Q9QYJ0,1.8623978434381319,3.6361150373871696,0.221774586012946,0.998030532995944
Pts,Q9R1Z7,1.8566474726931892,3.6216508615694494,0.263234201180039,0.998030532995944
Nxn,P97346,1.8501139870895824,3.605286692278329,0.081937686174132,0.998030532995944
Nenf,Q9CQ45,1.848642431364138,3.601611157749606,0.183320511438858,0.998030532995944
Ccdc58,Q8R3Q6,1.848148485670102,3.60037825976157,0.138335802269841,0.998030532995944
Stc2,O88452,1.845453564373394,3.5936591131856237,0.505445154925623,0.998030532995944
Hnrnpdl,Q9Z130,1.8414807597273282,3.583776729301737,0.215016153435909,0.998030532995944
Rnf114,Q9ET26,1.8390294437235668,3.577692622920093,0.276358971406366,0.998030532995944
Gpc4,P51655,1.836937350362307,3.5725082683714904,0.106452610672826,0.998030532995944
Cdc37,Q61081,1.8209131396604314,3.533047485334198,0.0988854222249945,0.998030532995944
Rpl22,P67984,1.820774741318806,3.532708574860191,0.277609733554183,0.998030532995944
Entpd5,Q9WUZ9,1.8156686062998295,3.5202273489279645,0.124756430463676,0.998030532995944
