Gene names,UniProt Accession Number,log2FC,fold_change,p_value,adj_p_value,n_imputed
Tuba1a,P68369,10.547831,1496.9714588490613,0.0001796840691461,0.116075908668444,1
Ext2,P70428,4.63699,24.881300683609975,0.0462653037159908,0.998030532995944,1
Frzb,P97401,4.40696,21.2142239734431,0.0202781544968763,0.998030532995944,1
Anp32e,P97822,4.371558,20.69998762312077,0.156112071419084,0.998030532995944,1
Lifr,P42703,4.113269,17.306822886117818,0.0626575783940522,0.998030532995944,1
Ppp4c,P97470,4.100718,17.156911922538377,0.0970526022928269,0.998030532995944,1
Ap2m1,P84091,4.009901,16.110183256893674,0.0575650461360617,0.998030532995944,1
Smyd5,Q3TYX3,3.970064,15.671419952406428,0.0897446143760393,0.998030532995944,1
Gas6,Q61592,3.69182,12.922560038678725,0.0548564263847188,0.998030532995944,1
Dera,Q91YP3,3.655893,12.604727290484632,0.0426728550142918,0.998030532995944,1
Sms,P97355,3.654941,12.596412475673864,0.06181043110361,0.998030532995944,1
Eif3f,Q9DCH4,3.383613,10.436839545071331,0.113401373737639,0.998030532995944,1
Polr2d,Q9D7M8,3.265278,9.614940967962541,0.119256666975422,0.998030532995944,1
Ifnar2,O35664,3.261169,9.587595213802226,0.196148657257578,0.998030532995944,1
Echs1,Q8BH95,3.240931,9.454040204811403,0.0839230435823424,0.998030532995944,1
Serpine2,Q07235,3.237086,9.428877307317402,0.122583372859703,0.998030532995944,1
Pla2g15,Q8VEB4,3.165047,8.969620831035616,0.0842742149469735,0.998030532995944,1
Pdap1,Q3UHX2,3.151832,8.887834791936143,0.0642821197830784,0.998030532995944,1
Hebp2,Q9WU63,3.116857,8.674959365749803,0.155925130090147,0.998030532995944,1
Bzw1,Q9CQC6,3.110694,8.637980142523952,0.185042852292447,0.998030532995944,1
Asf1a,Q9CQE6,3.067755,8.38467578870115,0.073681826295237,0.998030532995944,1
Eno3,P21550,2.91607,7.547872223322907,0.197684530498925,0.998030532995944,1
Clip1;Clip2,Q922J3;Q9Z0H8,2.882042,7.371928099375188,0.309845595239315,0.998030532995944,1
Aif1l,Q9EQX4,2.877652,7.349530035503958,0.0671278958154785,0.998030532995944,1
Lepre1,Q3V1T4,2.846073,7.190404836328749,0.156774528632189,0.998030532995944,1
Sema5a,Q62217,2.806306,6.994912448127159,0.266403416330927,0.998030532995944,1
Msrb3,Q8BU85,2.766558,6.804824715339305,0.197360888086718,0.998030532995944,1
Scrn3,Q3TMH2,2.722101,6.598330307730455,0.13874686640185,0.998030532995944,1
Cyfip1;Cyfip2,Q7TMB8;Q5SQX6,2.713017,6.556914124056071,0.0996638050415605,0.998030532995944,1
Lum,P51885,2.687092,6.440139772629437,0.48475197060858,0.998030532995944,1
Pofut1,Q91ZW2,2.684024,6.426458880731543,0.220179008840384,0.998030532995944,1
Gabarapl1,Q8R3R8,2.658452,6.31355246892185,0.143529861598199,0.998030532995944,1
Slit3,Q9WVB4,2.584844,5.999507189595033,0.236159228525057,0.998030532995944,1
Gtf2a2,Q80ZM7,2.574931,5.958424871163338,0.100646426767726,0.998030532995944,1
Rps2,P25444,2.574647,5.957252048030864,0.134623241979383,0.998030532995944,1
Kctd12,Q6WVG3,2.555022,5.87676414860496,0.168519531180645,0.998030532995944,1
Ccbl1,Q8BTY1,2.418558,5.346363759582383,0.217170331282155,0.998030532995944,1
Il1rl1,P14719,2.393809,5.255430690227995,0.428477445353404,0.998030532995944,2
Rad23a,P54726,2.369639,5.168117962572049,0.176871858717796,0.998030532995944,1
Hebp1,Q9R257,2.351101,5.102134743772989,0.248017866421809,0.998030532995944,1
Ubl5,Q9EPV8,2.286972,4.880307322574437,0.141893653415401,0.998030532995944,1
