accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
A1A547,Pglyrp3,control_only,,,0.0,132400000.0
A2A9R3,Mageb4,treated_only,2013600.0,7700900.0,,
A2ADY9,Ddi2,treated_only,18604000.0,15715000.0,,
A2AG50,Map7d2,treated_only,80496000.0,68971000.0,,
A2AIV2,Kiaa1429,treated_only,0.0,58744000.0,,
A2AJB7,Lcn5,control_only,,,0.0,32850000.0
A2AN08,Ubr4,treated_only,53236000.0,6889800.0,,
A2RSQ1,Glb1l3,treated_only,37686000.0,0.0,,
A2RSX7,Tyw5,control_only,,,34380000.0,57686000.0
A6H584,Col6a5,treated_only,0.0,57791000.0,,
A6H6E9,Ttc23l,treated_only,23112000.0,0.0,,
A6X935,Itih4,control_only,,,5748300.0,0.0
B0V2N1,Ptprs,treated_only,0.0,6841300.0,,
B1AY13,Usp24,treated_only,3531300.0,0.0,,
B1AYB6,Mbd5,treated_only,0.0,69899000.0,,
B1AZI6,Thoc2,control_only,,,0.0,14473000.0
B2RY56,Rbm25,treated_only,20796000.0,14776000.0,,
D3YXK2,Safb,treated_only,36940000.0,2421400.0,,
E9PVA8,Gcn1l1,treated_only,37505000.0,339300000.0,,
E9Q394,Akap13,treated_only,60463000.0,0.0,,
E9Q401,Ryr2,control_only,,,0.0,621410000.0
E9Q7X6,Heg1,treated_only,36745000.0,58375000.0,,
F8VQB6,Myo10,treated_only,14498000.0,0.0,,
O08528,Hk2,treated_only,50756000.0,25999000.0,,
O08542,Efna4,control_only,,,47584000.0,162120000.0
O08543,Efna5,control_only,,,0.0,67324000.0
O08665,Sema3a,treated_only,0.0,134080000.0,,
O08738,Casp6,control_only,,,18577000.0,3137000.0
O08788,Dctn1,control_only,,,5387900.0,13962000.0
O09161,Casq2,treated_only,470580000.0,1021600000.0,,
O35286,Dhx15,control_only,,,0.0,49394000.0
O35375,Nrp2,treated_only,0.0,13785000.0,,
O35674,Adam19,treated_only,0.0,22911000.0,,
O35691,Pnn,control_only,,,11682000.0,0.0
O54819,Tfpi,control_only,,,0.0,31554000.0
O54879,Hmgb3,treated_only,9884700.0,90688000.0,,
O54931,Akap2,treated_only,5562600.0,42274000.0,,
O54941,Smarce1,control_only,,,8452300.0,11847000.0
O54962,Banf1,control_only,,,35413000.0,19051000.0
O55022,Pgrmc1,control_only,,,17411000.0,18821000.0
O55128,Sap18,treated_only,35310000.0,15622000.0,,
O55229,Chkb,treated_only,10294000.0,29081000.0,,
O70311,Nmt2,control_only,,,5173700.0,0.0
O70370,Ctss,treated_only,21963000.0,34018000.0,,
O70405,Ulk1,treated_only,169840000.0,249380000.0,,
O70514,Fgfbp1,control_only,,,0.0,10293000.0
O70555;O70562;O70558;O70554;O70559,Sprr2d;Sprr2k;Sprr2g;Sprr2b;Sprr2h,treated_only,219870000.0,46947000.0,,
O70562;O70558;O70555;O70554;O70559,Sprr2k;Sprr2g;Sprr2d;Sprr2b;Sprr2h,control_only,,,21795000.0,9746700.0
O70624,Myoc,treated_only,0.0,163980000.0,,
O88487,Dync1i2,treated_only,57516000.0,33284000.0,,
O88487;O88485,Dync1i2;Dync1i1,control_only,,,25821000.0,69324000.0
O88572,Lrp6,treated_only,0.0,8315600.0,,
O88630,Gosr1,control_only,,,0.0,9191300.0
O88696,Clpp,control_only,,,37392000.0,0.0
O88735,Map7,treated_only,9667000.0,0.0,,
O88792,F11r,control_only,,,15281000.0,30326000.0
O88796,Rpp30,control_only,,,0.0,23439000.0
O88978,Lrrc6,treated_only,91530000.0,11694000.0,,
O88986,Gcat,treated_only,48412000.0,8028400.0,,
O89106,Fhit,treated_only,11651000.0,0.0,,
P01132,Egf,control_only,,,87500000.0,5212300.0
P01216,Cga,treated_only,1316800000.0,877340000.0,,
P01898,H2-Q10,control_only,,,21512000.0,27120000.0
P01899,H2-D1,treated_only,888380000.0,711320000.0,,
P01899;P01897,H2-D1;H2-L,control_only,,,560060000.0,604630000.0
P02088;P02089,Hbb-b1;Hbb-b2,control_only,,,16470000.0,100590000.0
P02089;P02088,Hbb-b2;Hbb-b1,treated_only,18881000.0,21483000.0,,
P02816,Pip,treated_only,0.0,3426400.0,,
P04768;P04095,Prl2c3;Prl2c2,control_only,,,0.0,34403000.0
P05213;P68368,Tuba1b;Tuba4a,treated_only,500300000.0,0.0,,
P07310,Ckm,treated_only,0.0,6306300.0,,
P08030,Aprt,treated_only,22597000.0,0.0,,
P08752;P20612;Q9DC51;Q3V3I2;P50149;P18872;B2RSH2;Q8CGK7;P63094;Q6R0H7,Gnai2;Gnat1;Gnai3;Gnat3;Gnat2;Gnao1;Gnai1;Gnal;Gnas,treated_only,90587000.0,75718000.0,,
P0C028;P0C027,Nudt11;Nudt10,treated_only,0.0,0.0,,
P0DOV1,,control_only,,,0.0,41355000.0
P10107,Anxa1,control_only,,,3208500.0,107990000.0
P10107;A2BH40,Anxa1;Arid1a,treated_only,0.0,39479000.0,,
P10287,Cdh3,control_only,,,0.0,33465000.0
P10711,Tcea1,treated_only,22811000.0,73862000.0,,
P10889,Cxcl2,control_only,,,0.0,44021000.0
P11440;Q80YP0,Cdk1;Cdk3,treated_only,71480000.0,86849000.0,,
P11679,Krt8,control_only,,,7048500.0,216930000.0
P11798;Q6PHZ2;Q923T9;P28652,Camk2a;Camk2d;Camk2g;Camk2b,treated_only,0.0,2298900.0,,
P12656,Tshb,treated_only,5301600.0,0.0,,
P14430,H2-Q8,treated_only,0.0,36792000.0,,
P16332,Mut,treated_only,54887000.0,0.0,,
P16381;Q62095;Q62167,D1Pas1;Ddx3y;Ddx3x,control_only,,,7900700.0,126930000.0
P17225,Ptbp1,control_only,,,88708000.0,65699000.0
P17225;Q8BHD7,Ptbp1;Ptbp3,treated_only,37009000.0,123530000.0,,
P17426,Ap2a1,treated_only,142760000.0,102940000.0,,
P17426;P17427,Ap2a1;Ap2a2,control_only,,,150540000.0,118380000.0
P18155,Mthfd2,control_only,,,88531000.0,34022000.0
P18572,Bsg,treated_only,33966000.0,37148000.0,,
P19157,Gstp1,treated_only,2020800000.0,3792100000.0,,
P19157;P46425,Gstp1;Gstp2,control_only,,,2416700000.0,4724600000.0
P20033,Pdgfa,treated_only,121830000.0,89823000.0,,
P20918,Plg,treated_only,47492000.0,20518000.0,,
P21126,Ubl4a,treated_only,32546000.0,17199000.0,,
P22005,Penk,control_only,,,1972600.0,23627000.0
P25118,Tnfrsf1a,treated_only,29690000.0,33591000.0,,
P25206,Mcm3,treated_only,13201000.0,2719700.0,,
P27659,Rpl3,control_only,,,76840000.0,41990000.0
P28481,Col2a1,control_only,,,54388000.0,18241000.0
P28660,Nckap1,treated_only,57445000.0,11926000.0,,
P28665,Mug1,control_only,,,12181000.0,0.0
P28665;P28666,Mug1;Mug2,treated_only,12079000.0,0.0,,
P28843,Dpp4,treated_only,0.0,17837000.0,,
P29621,Serpina3c,treated_only,0.0,134640000.0,,
P29788,Vtn,treated_only,0.0,2682800.0,,
P31750,Akt1,treated_only,0.0,40637000.0,,
P31938,Map2k1,treated_only,3889500.0,0.0,,
P33435,Mmp13,treated_only,0.0,40343000.0,,
P35123,Usp4,treated_only,22431000.0,0.0,,
P35230,Reg3b,treated_only,10161000.0,29221000.0,,
P35235,Ptpn11,control_only,,,0.0,10896000.0
P35455,Avp,treated_only,66987000.0,258960000.0,,
P35486,Pdha1,control_only,,,0.0,0.0
P36552,Cpox,treated_only,133860000.0,13149000.0,,
P38060,Hmgcl,control_only,,,47300000.0,0.0
P39447,Tjp1,treated_only,6451900.0,17931000.0,,
P40201,Chd1,treated_only,0.0,31919000.0,,
P41105,Rpl28,control_only,,,0.0,7810000.0
P42567,Eps15,treated_only,59579000.0,0.0,,
P43406,Itgav,treated_only,6262700.0,6645100.0,,
P46061,Rangap1,treated_only,97484000.0,133280000.0,,
P46412,Gpx3,control_only,,,0.0,29700000.0
P46414,Cdkn1b,control_only,,,7914900.0,0.0
P46662,Nf2,control_only,,,183780000.0,0.0
P46737,Brcc3,treated_only,22277000.0,13681000.0,,
P47867,Scg3,treated_only,10899000.0,0.0,,
P47911,Rpl6,control_only,,,14905000.0,0.0
P48441,Idua,treated_only,85174000.0,34085000.0,,
P50518,Atp6v1e1,control_only,,,122720000.0,76116000.0
P50518;Q9D593,Atp6v1e1;Atp6v1e2,treated_only,61988000.0,114910000.0,,
P51125,Cast,control_only,,,0.0,22158000.0
P51410,Rpl9,treated_only,43112000.0,53880000.0,,
P51670,Ccl9,treated_only,301610.0,1783800.0,,
P52194,Clgn,treated_only,23496000.0,0.0,,
P52196,Tst,treated_only,92685000.0,89481000.0,,
P52293,Kpna2,control_only,,,63218000.0,18272000.0
P52432,Polr1c,control_only,,,0.0,0.0
P54103,Dnajc2,treated_only,5392600.0,7571100.0,,
P54116,Stom,treated_only,0.0,9038200.0,,
P55097,Ctsk,treated_only,33218000.0,29155000.0,,
P55144,Tyro3,control_only,,,127020000.0,290380000.0
P55849,Dsc1,treated_only,2720700.0,79762000.0,,
P56212,Arpp19,treated_only,82168000.0,13700000.0,,
P56542,Dnase2,control_only,,,14270000.0,11824000.0
P59326;Q8BYK6;Q91YT7,Ythdf1;Ythdf3;Ythdf2,treated_only,0.0,10182000.0,,
