Gene names,UniProt Accession Number,direction,basis,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,note
,Q3UJP5,UP,treated_only,2254100.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q5EBG8,UP,treated_only,12666000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q8BR90,UP,treated_only,167230000.0,58062000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q8BTG6,UP,treated_only,34048000.0,18438000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q8CAK3,UP,treated_only,54259000.0,21501000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q8CFE2,UP,treated_only,67348000.0,12290000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q8VE95,UP,treated_only,0.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q9CRC3,UP,treated_only,4551500.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q9CRW3,UP,treated_only,9010700.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
,Q9CXL3,UP,treated_only,0.0,3010200.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Acad10,Q8K370,UP,treated_only,32105000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Acat1,Q8QZT1,UP,treated_only,116200000.0,25193000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
